cyclostationary_mean_rr_24w_2,cyclostationary_mean_tg_8,cyclostationary_mean_rr_8w_0,cyclostationary_mean_tg_24w_2,cyclostationary_mean_rr_12w_0
2.1204007780735123,-0.32218730405018614,2.0912576293117935,-1.5200126098884807,2.6041932246587036
3.24531327097478,0.9477975637651227,2.5053573016034005,0.08210373252034203,3.071898567234693
2.015302639239309,-0.7670997701405868,1.390081841860237,-0.727657468548842,1.718188252950929
1.9524249596264323,0.46091298979537587,1.3360498375092267,0.11559125693189413,1.6375325992064622
1.2244111403056561,-0.06474416122719713,0.8639870508613319,-0.22325370707289904,1.072293497536632
0.9563592706825629,1.2520385513626193,0.6535826442472796,0.7835581152587698,0.8106732740803276
0.6608780262255886,1.592687263795536,0.4406757045137137,1.5296620465872026,0.5535818464477518
0.6090220020813636,-0.4182366864186932,0.3885157090360354,0.937748092985587,0.4893675781353171
0.9761086422956079,-0.59700089983323,0.7319973704978416,1.1202790973156391,0.8789923281459849
1.2900793567082687,1.1071941028746355,0.839234687176027,1.2729548585112156,1.1436720077212272
1.1217617970915965,1.076764504458566,0.4715866993348786,1.5311791780165471,0.9933165872867636
1.1563312675511113,0.0052114671574762855,0.7277616103554906,1.43615509762419,1.0494364744885836
0.9658975962639227,-0.07552348761351445,0.5477728212120626,1.2880331489647938,0.9271364822664965
0.630981771058779,-0.9475489936413357,0.4014523873530897,1.0091609465828664,0.5193234011712384
0.3718313168725791,-1.4622618285880054,0.24513813306629906,0.6629303270965681,0.08743065399415738
0.4418451271661735,-0.34500664727145636,0.5950083376167975,0.5641698584979987,0.36305179890906486
0.19481294991016612,0.6069508637047029,0.34580601650025855,0.5905666096036747,0.05893507257358034
0.10939200268176051,-0.520428761845652,-0.20677296686358693,0.5521521509197431,0.015026932566442715
0.05439505544193736,-0.12194058695051468,-0.5718365815518966,0.6376720593667874,0.039611322708734416
-0.09378243075296482,0.309232468502191,-0.7186418224756067,0.652985836615118,-0.03694965014043952
-0.18518097463321612,-0.5776971061516105,-0.9630698643112072,0.5660519135091407,-0.10986444035695482
