cyclostationary_mean_rr_8w_4,cyclostationary_mean_tg_1,cyclostationary_mean_rr_16w_1,cyclostationary_mean_tg_16w_1,cyclostationary_mean_tg_24w_0
2.780610460049889,0.27517867837141385,2.628099640349664,1.868248641278669,1.6684122558071912
1.7821443956574896,1.4407251741839904,2.3062709247733504,2.8167863743264117,3.0399356581682135
1.643514882902677,-1.5395913036346816,1.5208990086523477,1.7671097883172497,1.7088869374188604
1.0763001822507474,1.3634368079712367,2.144257937109947,1.9178837752508475,2.093338503468475
2.134604321202654,-0.7866572076734825,1.8623800596736808,1.5461675289157204,1.6910080973109614
1.965606871376883,1.9420080676486098,1.4242352064617523,1.708739437315497,2.0842506227278164
1.4339033854373404,2.0211131518510648,0.9619183306032991,1.8682841032671351,2.369840755200988
1.148420850472512,-0.069692548603141,0.9344301789270338,1.578550740535388,2.0902468869102453
0.9359921998206616,0.9725019327703119,1.7238464440898882,1.4632530522593357,2.0544565245699573
0.5433509254469713,1.448826207552721,1.6619570043370893,1.7055253279470908,2.3548868371004867
0.3426019140394374,2.2613002550740418,1.4525673342606147,1.8303661531726925,2.6102049371732643
0.6592548395936302,0.12023806947196546,1.6345367636587311,1.8493083747620562,2.573237830108054
0.4538573369415881,0.41308084666284434,1.4729336219191056,1.669003223121554,2.409502964731379
0.42341503120152857,-1.1880245153017075,1.5461324496123,1.3217235060442512,2.051330041830501
0.09822305538613928,-0.6553764784361945,1.409676401373702,1.0215625992079713,1.7742308315985047
0.13446085918423079,0.9365919554510681,1.1960223808472155,0.9800719588702419,1.7459431820098061
0.5858583479973409,0.2635845427575933,1.2473107674286659,0.9995945040330604,1.6956396537924472
0.5065696965662584,0.32551933806108063,0.9597149395877395,0.8387055006609281,1.5991761089976844
0.5783090498002976,0.30460703733985856,0.9213665692948984,0.5733963635680392,1.5044676432630384
0.7464325425423094,0.9458795914115304,0.8468589596306925,0.6604452292239076,1.527479945260862
0.17664859661219875,0.10579570755150797,0.5531171994239197,0.4237274535890387,1.4212145565101686
0.31625772903486693,-0.5838677680863786,0.4169665241579326,0.2647390622558344,1.2701841989391573
-0.3888201545948611,0.3385051459775865,0.48307817014440535,0.042233268834977154,1.2109343853411314
