,mean,median,year,week
2004-03-10,0.40083888,0.44,2004,11
2004-03-18,0.26763633,0.28,2004,12
2004-03-26,0.40155855,0.43,2004,13
2004-04-03,0.38619614,0.4,2004,14
2004-04-11,0.5471424,0.6,2004,15
2004-04-19,0.440917,0.46,2004,17
2004-04-27,0.31569546,0.31,2004,18
2004-05-05,0.5614295,0.6,2004,19
2004-05-13,0.45356745,0.49,2004,20
2004-05-21,0.21492139,0.19,2004,21
2004-05-29,0.3095843,0.31,2004,22
2004-06-06,0.42210308,0.44,2004,23
2004-06-14,0.37402362,0.39,2004,25
2004-06-22,0.55556524,0.61,2004,26
2004-06-30,0.56466156,0.62,2004,27
2004-07-08,0.5509611,0.62,2004,28
2004-07-16,0.656975,0.74,2004,29
2004-07-24,0.50402385,0.57,2004,30
2004-08-01,0.6364768,0.72,2004,31
2004-08-09,0.66520655,0.76,2004,33
2004-08-17,0.5303935,0.6,2004,34
2004-08-25,0.5163104,0.57,2004,35
2004-09-02,0.49812183,0.54,2004,36
2004-09-10,0.31342828,0.32,2004,37
2004-09-18,0.506757,0.54,2004,38
2004-09-26,0.4023997,0.41,2004,39
2004-10-04,0.41817397,0.44,2004,41
2004-10-12,0.41500518,0.44,2004,42
2004-10-20,0.5229786,0.57,2004,43
2004-10-28,0.3711229,0.39,2004,44
2004-11-05,0.3530892,0.36,2004,45
2004-11-13,0.49502668,0.53,2004,46
2004-11-21,0.48056182,0.52,2004,47
2004-11-29,0.3607969,0.38,2004,49
2004-12-07,0.28793678,0.3,2004,50
2004-12-15,0.28122526,0.28,2004,51
2004-12-23,0.32851702,0.34,2004,52
2004-12-31,0.33471984,0.36,2004,53
2005-01-08,0.29444778,0.3,2005,1
2005-01-16,0.2100744,0.2,2005,2
2005-01-24,0.46056813,0.52,2005,4
2005-02-01,0.34041882,0.36,2005,5
2005-02-09,0.22318031,0.22,2005,6
2005-02-17,0.17592059,0.16,2005,7
2005-02-25,0.29145923,0.28,2005,8
2005-03-05,0.48649254,0.53,2005,9
2005-03-13,0.3162025,0.33,2005,10
2005-03-21,0.08952236,0.06,2005,12
2005-03-29,0.2983667,0.31,2005,13
2005-04-06,0.33834827,0.33,2005,14
2005-04-14,0.45444947,0.47,2005,15
2005-04-22,0.4572166,0.46,2005,16
2005-04-30,0.4301344,0.45,2005,17
2005-05-08,0.28697348,0.27,2005,18
2005-05-16,0.42152628,0.44,2005,20
2005-05-24,0.5644727,0.62,2005,21
2005-06-01,0.39097658,0.42,2005,22
2005-06-09,0.6127892,0.68,2005,23
2005-06-17,0.60058254,0.67,2005,24
2005-06-25,0.43500727,0.48,2005,25
2005-07-03,0.45124006,0.5,2005,26
2005-07-11,0.64847213,0.73,2005,28
2005-07-19,0.6032202,0.68,2005,29
2005-07-27,0.51917726,0.58,2005,30
2005-08-04,0.4387556,0.48,2005,31
2005-08-12,0.6077644,0.68,2005,32
2005-08-20,0.6136353,0.69,2005,33
2005-08-28,0.61811477,0.69,2005,34
2005-09-05,0.5498567,0.61,2005,36
2005-09-13,0.5083712,0.55,2005,37
2005-09-21,0.47764954,0.52,2005,38
2005-09-29,0.44410628,0.48,2005,39
2005-10-07,0.5209844,0.57,2005,40
2005-10-15,0.55948246,0.61,2005,41
2005-10-23,0.46317208,0.5,2005,42
2005-10-31,0.44084218,0.47,2005,44
2005-11-08,0.47551546,0.52,2005,45
2005-11-16,0.43596005,0.48,2005,46
2005-11-24,0.57458335,0.64,2005,47
2005-12-02,0.5454011,0.63,2005,48
2005-12-10,0.46835002,0.54,2005,49
2005-12-18,0.34863955,0.38,2005,50
2005-12-26,0.3504533,0.4,2005,52
2006-01-03,0.20525923,0.22,2006,1
2006-01-11,0.37983418,0.44,2006,2
2006-01-19,0.43922842,0.52,2006,3
2006-01-27,0.26349267,0.29,2006,4
2006-02-04,0.24511045,0.26,2006,5
2006-02-12,0.26649255,0.27,2006,6
2006-02-20,0.36776057,0.41,2006,8
2006-02-28,0.37083733,0.41,2006,9
2006-03-08,0.36417955,0.39,2006,10
2006-03-16,0.39232743,0.43,2006,11
2006-03-24,0.45874196,0.5,2006,12
2006-04-01,0.3083452,0.3,2006,13
2006-04-09,0.39661565,0.42,2006,14
2006-04-17,0.23395306,0.21,2006,16
2006-04-25,0.27135852,0.25,2006,17
2006-05-03,0.3543946,0.36,2006,18
2006-05-11,0.37830994,0.38,2006,19
2006-05-19,0.36088088,0.38,2006,20
2006-05-27,0.67668927,0.75,2006,21
2006-06-04,0.61937547,0.68,2006,22
2006-06-12,0.47942132,0.53,2006,24
2006-06-20,0.38927865,0.42,2006,25
2006-06-28,0.35287717,0.37,2006,26
2006-07-06,0.42424837,0.46,2006,27
2006-07-14,0.40335178,0.44,2006,28
