,mean,median,year,week
2003-10-18,0.511246,0.53,2003,42
2003-10-26,0.6344269,0.67,2003,43
2003-11-03,0.4341536,0.44,2003,45
2003-11-11,0.39597183,0.4,2003,46
2003-11-19,0.24706014,0.24,2003,47
2003-11-27,0.26727626,0.27,2003,48
2003-12-05,0.3586012,0.37,2003,49
2003-12-13,0.22019337,0.21,2003,50
2003-12-21,0.3967519,0.43,2003,51
2003-12-29,0.036162555,0.0,2003,1
2004-01-06,0.2809329,0.31,2004,2
2004-01-14,0.27357146,0.3,2004,3
2004-01-22,0.39992046,0.46,2004,4
2004-01-30,0.4256517,0.48,2004,5
2004-02-07,0.19204296,0.19,2004,6
2004-02-15,0.26862922,0.28,2004,7
2004-02-23,0.4092074,0.44,2004,9
2004-03-02,0.40760657,0.44,2004,10
2004-03-10,0.4498637,0.49,2004,11
2004-03-18,0.30508777,0.31,2004,12
2004-03-26,0.34935287,0.36,2004,13
2004-04-03,0.45839226,0.48,2004,14
2004-04-11,0.58602,0.62,2004,15
2004-04-19,0.5189932,0.54,2004,17
2004-04-27,0.39746672,0.4,2004,18
2004-05-05,0.57537985,0.62,2004,19
2004-05-13,0.48847976,0.51,2004,20
2004-05-21,0.23166777,0.2,2004,21
2004-05-29,0.371311,0.36,2004,22
2004-06-06,0.34278247,0.35,2004,23
2004-06-14,0.3801765,0.4,2004,25
2004-06-22,0.5031844,0.54,2004,26
2004-06-30,0.51770985,0.55,2004,27
2004-07-08,0.531641,0.57,2004,28
2004-07-16,0.6731112,0.72,2004,29
2004-07-24,0.48487133,0.51,2004,30
2004-08-01,0.5794559,0.61,2004,31
2004-08-09,0.6801013,0.73,2004,33
2004-08-17,0.52820486,0.57,2004,34
2004-08-25,0.5990001,0.64,2004,35
2004-09-02,0.5272604,0.55,2004,36
2004-09-10,0.27083227,0.27,2004,37
2004-09-18,0.52074647,0.54,2004,38
2004-09-26,0.43854707,0.44,2004,39
2004-10-04,0.4175884,0.43,2004,41
2004-10-12,0.38123977,0.39,2004,42
2004-10-20,0.49954033,0.52,2004,43
2004-10-28,0.4879943,0.51,2004,44
2004-11-05,0.4393413,0.43,2004,45
2004-11-13,0.6129135,0.65,2004,46
2004-11-21,0.4418433,0.46,2004,47
2004-11-29,0.30481058,0.31,2004,49
2004-12-07,0.21283527,0.2,2004,50
2004-12-15,0.26628265,0.27,2004,51
2004-12-23,0.34681362,0.37,2004,52
2004-12-31,0.2700119,0.28,2004,53
2005-01-08,0.32376254,0.34,2005,1
2005-01-16,0.31790918,0.34,2005,2
2005-01-24,0.4618664,0.51,2005,4
2005-02-01,0.36918193,0.39,2005,5
2005-02-09,0.24853091,0.25,2005,6
2005-02-17,0.23271911,0.22,2005,7
2005-02-25,0.37364936,0.38,2005,8
2005-03-05,0.48176047,0.51,2005,9
2005-03-13,0.38171363,0.4,2005,10
2005-03-21,0.097939864,0.07,2005,12
2005-03-29,0.33052436,0.33,2005,13
2005-04-06,0.47624043,0.48,2005,14
2005-04-14,0.5536434,0.59,2005,15
2005-04-22,0.58421564,0.6,2005,16
2005-04-30,0.48481455,0.5,2005,17
2005-05-08,0.28161925,0.27,2005,18
2005-05-16,0.42880443,0.44,2005,20
2005-05-24,0.549732,0.57,2005,21
2005-06-01,0.3590909,0.37,2005,22
2005-06-09,0.5204336,0.54,2005,23
2005-06-17,0.6161507,0.66,2005,24
2005-06-25,0.4743265,0.49,2005,25
2005-07-03,0.4496789,0.47,2005,26
2005-07-11,0.6922324,0.74,2005,28
2005-07-19,0.60653275,0.66,2005,29
2005-07-27,0.49847147,0.53,2005,30
2005-08-04,0.489016,0.52,2005,31
2005-08-12,0.5666991,0.59,2005,32
2005-08-20,0.48611137,0.51,2005,33
2005-08-28,0.60476536,0.64,2005,34
2005-09-05,0.56925815,0.61,2005,36
2005-09-13,0.62968975,0.66,2005,37
2005-09-21,0.48940367,0.51,2005,38
2005-09-29,0.44007656,0.45,2005,39
2005-10-07,0.52190375,0.53,2005,40
2005-10-15,0.43709937,0.45,2005,41
2005-10-23,0.38193274,0.38,2005,42
2005-10-31,0.4396971,0.46,2005,44
2005-11-08,0.48770064,0.51,2005,45
2005-11-16,0.52767885,0.55,2005,46
2005-11-24,0.57808805,0.61,2005,47
2005-12-02,0.52998483,0.63,2005,48
2005-12-10,0.4369872,0.5,2005,49
2005-12-18,0.29899153,0.32,2005,50
2005-12-26,0.2632121,0.3,2005,52
2006-01-03,0.0015097017,0.0,2006,1
2006-01-11,0.12748449,0.0,2006,2
2006-01-19,0.33715254,0.43,2006,3
2006-01-27,0.320294,0.4,2006,4
2006-02-04,0.24319461,0.31,2006,5
2006-02-12,0.31562072,0.36,2006,6
2006-02-20,0.3956151,0.48,2006,8
2006-02-28,0.3734708,0.43,2006,9
2006-03-08,0.39466706,0.44,2006,10
2006-03-16,0.42946804,0.47,2006,11
2006-03-24,0.4918166,0.54,2006,12
2006-04-01,0.31611666,0.31,2006,13
2006-04-09,0.4577122,0.47,2006,14
2006-04-17,0.4211632,0.44,2006,16
2006-04-25,0.3838272,0.39,2006,17
2006-05-03,0.44161302,0.46,2006,18
2006-05-11,0.5272805,0.56,2006,19
2006-05-19,0.43845302,0.44,2006,20
2006-05-27,0.65249574,0.7,2006,21
2006-06-04,0.54395854,0.58,2006,22
2006-06-12,0.41566396,0.44,2006,24
2006-06-20,0.3862553,0.39,2006,25
2006-06-28,0.3034989,0.3,2006,26
2006-07-06,0.39319298,0.4,2006,27
2006-07-14,0.38336852,0.4,2006,28
2006-07-22,0.22812863,0.23,2006,29
2006-07-30,0.34836522,0.35,2006,30
2006-08-07,0.6035071,0.63,2006,32
2006-08-15,0.7397222,0.78,2006,33
2006-08-23,0.7426789,0.78,2006,34
2006-08-31,0.57906544,0.61,2006,35
2006-09-08,0.37638104,0.39,2006,36
2006-09-16,0.53980964,0.56,2006,37
2006-09-24,0.4752973,0.49,2006,38
2006-10-02,0.582109,0.61,2006,40
2006-10-10,0.40541112,0.42,2006,41
2006-10-18,0.33198422,0.33,2006,42
2006-10-26,0.45274127,0.47,2006,43
2006-11-03,0.5971212,0.62,2006,44
2006-11-11,0.36514157,0.37,2006,45
2006-11-19,0.29241353,0.28,2006,46
2006-11-27,0.26207894,0.26,2006,48
2006-12-05,0.3301538,0.36,2006,49
2006-12-13,0.37150112,0.4,2006,50
2006-12-21,0.43711358,0.48,2006,51
2006-12-29,0.17975448,0.0,2006,52
2007-01-06,0.36063194,0.4,2007,1
2007-01-14,0.26209775,0.28,2007,2
2007-01-22,0.32031283,0.36,2007,4
2007-01-30,0.5206824,0.59,2007,5
2007-02-07,0.4047967,0.45,2007,6
2007-02-15,0.39398232,0.44,2007,7
2007-02-23,0.4767635,0.52,2007,8
2007-03-03,0.427597,0.46,2007,9
2007-03-11,0.44840747,0.5,2007,10
2007-03-19,0.44149518,0.47,2007,12
2007-03-27,0.7069156,0.76,2007,13
2007-04-04,0.59970105,0.63,2007,14
2007-04-12,0.40171233,0.41,2007,15
2007-04-20,0.2990503,0.31,2007,16
2007-04-28,0.23000497,0.21,2007,17
2007-05-06,0.35568672,0.37,2007,18
2007-05-14,0.3440407,0.36,2007,20
2007-05-22,0.34140307,0.36,2007,21
2007-05-30,0.57122624,0.62,2007,22
2007-06-07,0.6856157,0.74,2007,23
2007-06-15,0.70286334,0.75,2007,24
2007-06-23,0.58354145,0.62,2007,25
2007-07-01,0.61136645,0.64,2007,26
2007-07-09,0.57693076,0.61,2007,28
2007-07-17,0.27664036,0.28,2007,29
2007-07-25,0.29500893,0.3,2007,30
2007-08-02,0.22817813,0.2,2007,31
2007-08-10,0.48849028,0.5,2007,32
2007-08-18,0.43498808,0.45,2007,33
2007-08-26,0.5579494,0.58,2007,34
2007-09-03,0.7167027,0.75,2007,36
2007-09-11,0.39334244,0.4,2007,37
2007-09-19,0.442003,0.44,2007,38
2007-09-27,0.344339,0.35,2007,39
2007-10-05,0.40580186,0.42,2007,40
2007-10-13,0.3917737,0.4,2007,41
2007-10-21,0.5600393,0.57,2007,42
2007-10-29,0.5221347,0.54,2007,44
2007-11-06,0.46732673,0.49,2007,45
2007-11-14,0.41397077,0.42,2007,46
2007-11-22,0.50587773,0.54,2007,47
2007-11-30,0.31238252,0.32,2007,48
2007-12-08,0.24909848,0.25,2007,49
2007-12-16,0.33881634,0.35,2007,50
2007-12-24,0.3601554,0.38,2007,52
2008-01-01,0.27762738,0.29,2008,1
2008-01-09,0.1629567,0.0,2008,2
2008-01-17,0.3354468,0.37,2008,3
2008-01-25,0.19707201,0.2,2008,4
2008-02-02,0.2639734,0.27,2008,5
2008-02-10,0.35952878,0.38,2008,6
2008-02-18,0.39913544,0.42,2008,8
2008-02-26,0.22262341,0.23,2008,9
2008-03-05,0.44241554,0.47,2008,10
2008-03-13,0.42729476,0.45,2008,11
2008-03-21,0.55064315,0.58,2008,12
2008-03-29,0.3401798,0.34,2008,13
2008-04-06,0.40092167,0.41,2008,14
2008-04-14,0.6143955,0.65,2008,16
2008-04-22,0.53254056,0.56,2008,17
2008-04-30,0.41400042,0.42,2008,18
2008-05-08,0.28802404,0.28,2008,19
2008-05-16,0.58270824,0.63,2008,20
2008-05-24,0.57552296,0.63,2008,21
2008-06-01,0.67536336,0.75,2008,22
2008-06-09,0.6989256,0.76,2008,24
2008-06-17,0.5454643,0.58,2008,25
