,mean,median,year,week
2003-10-18,0.4583246,0.45,2003,42
2003-10-26,0.6398516,0.65,2003,43
2003-11-03,0.3949054,0.38,2003,45
2003-11-11,0.40416327,0.41,2003,46
2003-11-19,0.27243003,0.26,2003,47
2003-11-27,0.2687835,0.26,2003,48
2003-12-05,0.3409994,0.33,2003,49
2003-12-13,0.18678208,0.17,2003,50
2003-12-21,0.42494434,0.43,2003,51
2003-12-29,0.033712942,0.0,2003,1
2004-01-06,0.44914612,0.47,2004,2
2004-01-14,0.30291846,0.3,2004,3
2004-01-22,0.41237408,0.41,2004,4
2004-01-30,0.46749485,0.47,2004,5
2004-02-07,0.18337922,0.17,2004,6
2004-02-15,0.2835012,0.28,2004,7
2004-02-23,0.530541,0.54,2004,9
2004-03-02,0.41023472,0.41,2004,10
2004-03-10,0.4310177,0.44,2004,11
2004-03-18,0.3046598,0.3,2004,12
2004-03-26,0.39640668,0.41,2004,13
2004-04-03,0.47189245,0.47,2004,14
2004-04-11,0.55347633,0.55,2004,15
2004-04-19,0.58854854,0.6,2004,17
2004-04-27,0.4115702,0.4,2004,18
2004-05-05,0.5929957,0.61,2004,19
2004-05-13,0.50563455,0.5,2004,20
2004-05-21,0.32207906,0.31,2004,21
2004-05-29,0.41731983,0.41,2004,22
2004-06-06,0.36297145,0.36,2004,23
2004-06-14,0.3270196,0.33,2004,25
2004-06-22,0.43493345,0.45,2004,26
2004-06-30,0.427146,0.44,2004,27
2004-07-08,0.47713962,0.49,2004,28
2004-07-16,0.5880466,0.6,2004,29
2004-07-24,0.40435457,0.41,2004,30
2004-08-01,0.5454981,0.58,2004,31
2004-08-09,0.65707767,0.7,2004,33
2004-08-17,0.47184116,0.52,2004,34
2004-08-25,0.5686605,0.63,2004,35
2004-09-02,0.5204953,0.56,2004,36
2004-09-10,0.34156895,0.35,2004,37
2004-09-18,0.57444465,0.6,2004,38
2004-09-26,0.43709368,0.44,2004,39
2004-10-04,0.3933973,0.4,2004,41
2004-10-12,0.39166918,0.4,2004,42
2004-10-20,0.46664178,0.47,2004,43
2004-10-28,0.4864369,0.5,2004,44
2004-11-05,0.46653795,0.48,2004,45
2004-11-13,0.5962481,0.61,2004,46
2004-11-21,0.44155556,0.44,2004,47
2004-11-29,0.26673377,0.26,2004,49
2004-12-07,0.23579518,0.22,2004,50
2004-12-15,0.28911784,0.28,2004,51
2004-12-23,0.40260985,0.4,2004,52
2004-12-31,0.3760983,0.38,2004,53
2005-01-08,0.40712345,0.42,2005,1
2005-01-16,0.33725965,0.34,2005,2
2005-01-24,0.40067682,0.41,2005,4
2005-02-01,0.39371634,0.39,2005,5
2005-02-09,0.21165173,0.2,2005,6
2005-02-17,0.23090151,0.22,2005,7
2005-02-25,0.36106306,0.34,2005,8
2005-03-05,0.5270055,0.54,2005,9
2005-03-13,0.42946586,0.43,2005,10
2005-03-21,0.09527359,0.07,2005,12
2005-03-29,0.336147,0.33,2005,13
2005-04-06,0.4564213,0.45,2005,14
2005-04-14,0.5944808,0.6,2005,15
2005-04-22,0.64608335,0.66,2005,16
2005-04-30,0.49421525,0.5,2005,17
2005-05-08,0.30365697,0.29,2005,18
2005-05-16,0.42755127,0.42,2005,20
2005-05-24,0.58144546,0.6,2005,21
2005-06-01,0.32561877,0.33,2005,22
2005-06-09,0.50635076,0.53,2005,23
2005-06-17,0.61887693,0.65,2005,24
2005-06-25,0.47192627,0.5,2005,25
2005-07-03,0.41914213,0.45,2005,26
2005-07-11,0.67671084,0.73,2005,28
2005-07-19,0.5962428,0.63,2005,29
2005-07-27,0.5017328,0.52,2005,30
2005-08-04,0.5414836,0.57,2005,31
2005-08-12,0.58754504,0.62,2005,32
2005-08-20,0.48195055,0.49,2005,33
2005-08-28,0.60089856,0.63,2005,34
2005-09-05,0.5604595,0.59,2005,36
2005-09-13,0.7109466,0.74,2005,37
2005-09-21,0.5779513,0.6,2005,38
2005-09-29,0.5202034,0.54,2005,39
2005-10-07,0.5579262,0.58,2005,40
2005-10-15,0.54169023,0.56,2005,41
2005-10-23,0.44553876,0.45,2005,42
2005-10-31,0.38636157,0.39,2005,44
2005-11-08,0.4254238,0.43,2005,45
2005-11-16,0.53368354,0.54,2005,46
2005-11-24,0.5493588,0.55,2005,47
2005-12-02,0.6346225,0.67,2005,48
2005-12-10,0.55907255,0.59,2005,49
2005-12-18,0.38970053,0.4,2005,50
2005-12-26,0.2198025,0.0,2005,52
2006-01-03,0.20907529,0.0,2006,1
2006-01-11,0.2686275,0.32,2006,2
2006-01-19,0.41118607,0.45,2006,3
2006-01-27,0.48278123,0.53,2006,4
2006-02-04,0.32621467,0.35,2006,5
2006-02-12,0.36677077,0.39,2006,6
2006-02-20,0.46028453,0.5,2006,8
2006-02-28,0.43008897,0.44,2006,9
2006-03-08,0.43511334,0.44,2006,10
2006-03-16,0.47398195,0.49,2006,11
2006-03-24,0.5156025,0.53,2006,12
2006-04-01,0.3543974,0.35,2006,13
2006-04-09,0.4988805,0.5,2006,14
2006-04-17,0.40606764,0.41,2006,16
2006-04-25,0.37594762,0.37,2006,17
2006-05-03,0.37028626,0.37,2006,18
2006-05-11,0.5396282,0.55,2006,19
2006-05-19,0.4715038,0.48,2006,20
2006-05-27,0.52352846,0.54,2006,21
2006-06-04,0.49154916,0.5,2006,22
