,mean,median,year,week
2003-10-18,0.5440698,0.52,2003,42
2003-10-26,0.64482355,0.65,2003,43
2003-11-03,0.40779987,0.4,2003,45
2003-11-11,0.47202352,0.47,2003,46
2003-11-19,0.23848219,0.23,2003,47
2003-11-27,0.28470153,0.28,2003,48
2003-12-05,0.40206283,0.4,2003,49
2003-12-13,0.20188238,0.19,2003,50
2003-12-21,0.4425739,0.46,2003,51
2003-12-29,0.0047526127,0.0,2003,1
2004-01-06,0.274398,0.21,2004,2
2004-01-14,0.33829206,0.34,2004,3
2004-01-22,0.41704044,0.42,2004,4
2004-01-30,0.5521341,0.56,2004,5
2004-02-07,0.19895644,0.19,2004,6
2004-02-15,0.32094646,0.32,2004,7
2004-02-23,0.588008,0.59,2004,9
2004-03-02,0.47551003,0.48,2004,10
2004-03-10,0.42156348,0.44,2004,11
2004-03-18,0.32358992,0.32,2004,12
2004-03-26,0.412204,0.42,2004,13
2004-04-03,0.42797706,0.43,2004,14
2004-04-11,0.4773434,0.47,2004,15
2004-04-19,0.60310215,0.61,2004,17
2004-04-27,0.47051698,0.47,2004,18
2004-05-05,0.58143264,0.59,2004,19
2004-05-13,0.52840084,0.53,2004,20
2004-05-21,0.38440505,0.37,2004,21
2004-05-29,0.46049163,0.46,2004,22
2004-06-06,0.42474097,0.44,2004,23
2004-06-14,0.32773384,0.33,2004,25
2004-06-22,0.40185314,0.4,2004,26
2004-06-30,0.42694774,0.43,2004,27
2004-07-08,0.46045634,0.46,2004,28
2004-07-16,0.50924945,0.51,2004,29
2004-07-24,0.3842094,0.38,2004,30
2004-08-01,0.511144,0.53,2004,31
2004-08-09,0.6859227,0.71,2004,33
2004-08-17,0.5110592,0.54,2004,34
2004-08-25,0.5572339,0.59,2004,35
2004-09-02,0.59102654,0.63,2004,36
2004-09-10,0.4230722,0.44,2004,37
2004-09-18,0.57819253,0.6,2004,38
2004-09-26,0.3878302,0.4,2004,39
2004-10-04,0.37276354,0.37,2004,41
2004-10-12,0.3775997,0.38,2004,42
2004-10-20,0.5152265,0.51,2004,43
2004-10-28,0.46036288,0.47,2004,44
2004-11-05,0.42119092,0.42,2004,45
2004-11-13,0.59932953,0.61,2004,46
2004-11-21,0.41776437,0.42,2004,47
2004-11-29,0.2421278,0.24,2004,49
2004-12-07,0.24925166,0.23,2004,50
