cyclostationary_mean_rr_4w_1,cyclostationary_mean_tg_0,cyclostationary_mean_rr_1w_16,cyclostationary_mean_rr_24w_2
2.17515902740341,0.678216668052901,0.4418862112650231,1.2935825967466312
1.433192512179481,1.735302017998226,1.2580477269646875,0.5196727396952417
1.339315233773223,-0.3485071122294408,0.8949244152826137,0.6686292158096642
0.826347140644425,1.2889973768164562,1.0804344617618962,-0.008145190236227215
1.8560467569968582,0.042118266859839396,1.342126167519063,1.7738435604135674
1.5402726541773335,1.5903837880002858,0.24051599180314367,1.9284744771939448
1.1376603042461904,1.631523033965771,-0.19170530450390724,1.332257794447472
0.8436272704160835,0.07389209381550384,-0.08393422320869365,1.3155295510343228
0.83729354434519,0.68144057225325,2.7870901387894373,0.9845015618086861
-0.4444707587295529,1.9877477051810575,3.1909675488393923,0.8147411337839223
-0.7177850307762808,2.0123127022542833,0.6613216386209105,0.5355092151227543
0.22552968434573734,0.8689667656245159,1.225523462021375,0.8236990341701051
-0.019994192118408544,0.19228668550890912,1.296360208550454,0.6668861795663946
1.027545567068562,-1.0071626515996712,0.4719298119329982,1.3277655270706186
0.8665376155517606,-0.8168004898765239,0.4516251154570884,1.0809404528818922
0.8233336422209531,0.526560569609528,-0.1752823882366272,0.9899161876733307
0.5841849047365498,0.3682200812495119,-0.14260078486474,1.281799033983046
0.6769791625429209,-0.00489112940859043,-0.24109234424109902,1.1633414262125752
-0.250789099991441,-0.06609786939043832,-0.04967579018401089,1.005640736900261
0.16146446423053049,0.7772505137292329,-0.11183021174940909,0.8938028486301984
0.21391891116090872,-0.2731809296953004,-0.6369156345859885,0.7669517400129908
-0.42155989526336446,-0.725100522858977,-0.563896822259159,0.6733492067447395
-0.2521192298521994,-0.02605924752256442,-0.32636173333877294,0.6068250788082405
-0.3485259384650785,0.07104571697268934,-0.08931588653935608,0.5274782023009819
-0.7024411789981028,0.17528748769087216,-0.19426176685432434,0.4495074627216395
-0.47011904236974317,-0.6804755363672021,-0.01626721436476785,0.4068824655129184
-0.41230471366492644,0.32418022713855177,-0.07331100814069777,0.3417758782364406
-0.5333158113441635,1.0067212116694293,-0.33876505471546,0.26255833447621335
-0.27620267731030357,-0.12884006383163316,-0.5027989799221454,0.23875291932874665
-0.15825818559418592,0.4826029529183038,-0.3646971840381999,-0.15269294072157044
-0.20862376687225365,0.7554800850191125,0.3427262506811427,-0.26533226007448607
0.23271580099368516,-0.6211354795514138,0.465611008764986,-0.10848972070792465
0.29728950668707865,-0.9365792832505183,1.0786934029464277,-0.2806374619254143
0.6375561549106589,-0.8659856942373139,1.3102450377582455,-0.20092679325536278
0.42052058298911105,0.06366379842162116,-0.21215930021861049,-0.2689984581861031
0.06529864869122357,1.7066237993351563,-0.5882325981824922,-0.26828184974319935
-0.6251704519316035,1.2967990615653773,-0.47237638887877154,-0.5891782322298231
-0.5293947956928446,1.1837223961063212,-0.34602099772082173,-0.547929326616375
-1.4224438382810585,0.1889611303705012,-1.5186057346477837,-1.108014601763574
-0.7709535720392342,-0.2095658659076892,-1.0612125866801565,-0.8886272469377293
-0.22666925992649598,-0.6609817075491117,0.16392548230210152,-0.8235013349600692
-0.18904535487061921,-0.959884459769867,-0.7639842167230978,-1.2238891419782305
-0.6188904955621191,-0.8927867054922279,-2.0421598832403274,-1.3451554015559346
-0.6440947701215549,-1.143816343328518,-2.407629489882825,-1.3913893495842606
