cyclostationary_mean_tg_3,cyclostationary_mean_rr_8w_0,cyclostationary_mean_rr_1w_0
0.723001496938004,1.8149003960661168,1.002579183001745
1.550126592436975,3.486900652145609,1.976372331975964
0.0897082374729638,2.1765530581584507,1.351690159574157
1.3034096608867336,2.160371647440305,0.4655196818573963
0.5818935411649636,1.58580357354462,0.40568984887259
1.8290814036694236,1.5353431752559368,0.1847799534121377
1.7277321830973316,1.2186572120054076,0.18864132833198552
0.2475720803157292,1.0711938756695203,-0.13624163141281584
0.1092247834828274,1.3952806252791945,1.1531264047976437
1.4903645220825703,1.5110755128754725,1.928603671420264
1.76495856100833,0.9708083704216833,0.9477671256419044
0.5275330354781791,1.3513013197055825,0.9484750932261589
0.4485161939267634,1.2993308210572379,1.331060416796994
-0.6063926140082394,1.27993444132247,0.29328806978937744
-0.9963963070907781,1.2056195768017948,-0.010545636541944785
0.6266234264930411,1.1692319717118231,-0.07455642472660304
0.9802550424012629,0.9483818340020537,-0.8100137331780948
0.02542897916240401,0.453934129980232,-0.6483770687399671
0.5707146577353283,-0.04565022157831913,-0.5726898707487975
0.5190466302877339,-0.19225588918884193,-0.7282010429516965
-0.3599653289235626,-0.21640610363990406,0.55687012182709
-0.5741543295221002,-0.2570305976215358,1.2275370208725074
0.14735315785087766,-0.053629839431225464,0.6710758264533351
0.33193563413128785,-0.23043589205710885,0.01859244968466087
0.22389586769063927,-0.01954848706070592,-0.012162102479290515
-0.941011081607927,0.5405479297532518,1.1031418613923214
0.6073249147351938,0.6139073768698137,0.9078938847240793
0.9611770058383037,0.79722737926535,0.08380254571304029
0.20328663002287148,0.886845040901229,0.002049293815768241
0.9111947957079825,0.5284243906403743,-0.15317501808087353
0.320666067900773,0.7295293538738086,0.7123891422883918
-0.42729368941540186,0.6182929427850495,0.864011924982764
-1.0212112935408737,0.6563353305123131,-0.12445246124319823
-0.8566422603396286,0.7877967772207364,0.4172561447880172
-0.03981283715581614,0.24438097658800073,0.08697359415780367
1.4309640560496584,0.23488567298125765,-0.45102566732039406
1.1234760304402338,0.11929363840377243,-0.2450806781715812
1.2454260094370413,0.49776709015311305,0.5922413525983404
0.24808747372157702,0.10251294766943898,-0.23039285118685396
-0.46521973550021195,-0.37882133398026313,-1.432841238379957
-0.2768966562176129,-0.6671842551419537,-1.0585186697612057
-0.842204102244104,-0.706825569406197,-0.969342198012517
-0.46935837582356305,-1.4043271657741387,-1.3705067957792274
-1.368660378149199,-1.3516587169268073,-1.4925549810107104
-1.7550455328629055,-1.5565054306859742,-0.8402439469667262
-0.8946940716969614,-1.5563002048892898,-0.7461254790530646
-1.2251903917417797,-2.0835070310147508,-0.7014731150097295
-0.5952090217105649,-1.7315426001774163,-0.6657960245096846
-0.5472222100937555,-1.6397229013390195,-0.365128987835074
0.9511197780295035,-1.4341738086279145,-0.35044030200224263
0.7463300293474627,-0.9564294970383945,0.6845075619891176
1.3796833426532056,-0.2955101800332996,1.3628374328039583
0.7044026319466261,-0.2170125113539343,0.3200798423903265
0.4734740737753569,0.11410805511915499,0.22581204923371645
1.0810425630702687,0.22569652590296482,0.35583567298914887
1.0300241400481687,0.3162647548034561,-0.18817186667686114
0.14633946835250022,0.3464750439077398,-0.3012652853746088
0.4977295328908821,0.24893944569791496,-0.4766666916955823
-1.250408120971417,0.6159124918488765,0.30262235263380727
-0.7099966965652219,0.15252842734030517,0.43330336362935634
0.20333497132657588,-0.3645756955814367,-1.0050427364676036
-0.8050428524804463,0.8324261181354253,2.007190061028136
-0.2914176642789376,0.952603281852602,3.3910169312325924
0.7031906990892479,0.9524400402987545,0.6117660527723842
-0.06373517678155888,1.3324733886727982,0.7641527286697306
0.06376907388595844,1.7513234817631196,1.6789872006687383
0.07181298557759551,1.7744546723812895,0.6291279182032877
1.950537788797128,1.4493571601666535,-0.4031788282798529
-0.4559488631514137,1.643463512028321,0.16840071512590116
-0.09591627252770202,1.9555692379573413,0.2673192505823626
-0.9318241702737627,1.43292048774503,1.478125434950334
-0.28658272502207804,1.0121913990194993,1.08836840992808
-0.35122404382688605,1.1320662218030113,-0.07806950777622514
-1.33441752243976,1.5355810202120443,2.0698560480808883
-0.06341015804056531,0.9859198319372822,1.2658997851624028
-0.44370948500162477,1.1600383398236764,-0.3360058530046253
0.03955601482398122,1.4109519465117006,0.6506236213869562
-0.053267351933894334,1.2794111831308512,0.4344498229043648
0.3208214469637627,1.0336356587020232,-0.7073733205108588
-1.2475808687620211,0.6102540039380627,-0.1807932611274291
-0.6134430969960474,0.5894730113612547,0.004586452314114874
0.38695423909235294,0.6371297908609674,-0.04868178776719704
0.7978849275095192,0.13081699674328043,0.9605844961167066
0.2984881989847669,-0.024257614957672157,-0.29252250466457536
-0.34214346151605535,-0.42336194922427023,-1.6624439318605013
-0.22810930574797003,0.20063598472644448,1.306264301476725
1.600723502577769,1.4912586809998631,5.271112277313899
2.349484400408762,3.3719490271565458,7.14419251006449
1.412361344037989,3.153482603670791,3.9055855688144416
