cyclostationary_mean_tg_1w_1,cyclostat_level_Iseo_4w,cyclostationary_mean_rr_16w_0,cyclostationary_mean_rr_1w_0,cyclostat_level_Iseo
-0.8504744556029868,40.77329728174603,3.1512064930592087,1.3459750116093037,47.89644444444444
-0.11226311184553801,41.88110228174603,4.2483952123894095,1.7875743820379326,48.26375
-0.4531567875580981,43.38257906746033,2.79035112959872,1.100281221385116,51.99107142857143
-0.6871513675785488,47.44364692460318,2.608804622595096,0.4448392922982238,53.49875
-0.5865818830745855,51.40975317460317,1.8085825000248967,0.1766919732180327,55.39875
0.07978756084572801,52.01421428571429,1.5530422744521726,-0.22502789922777405,50.91875
1.3930769632204667,49.29753571428571,1.1879604111465814,-0.14397428156967873,34.68035714285714
0.10452403000054418,45.69982142857143,0.9060964512917853,-0.4215407929873589,34.0025
-0.7798005327323725,42.711321428571424,1.4363623175865816,0.9963706897152601,38.55625
0.018107413505019446,44.42407142857143,1.6101086557853943,1.9000067353175316,63.962500000000006
0.8283579815247594,46.68957142857143,1.3820783291854064,0.502489930526691,62.24625
0.36601653337028356,51.435,1.7765816919858217,1.1100117380389753,58.4075
-0.24265321983886282,54.9104375,1.7161242417993103,1.5045026456354331,51.3796875
-0.8943150147797093,53.79418750000001,1.5699841225770583,0.15836340712276933,32.975
-1.8367488861279868,44.4916875,1.4662213427356126,-0.05637606338909941,17.450000000000003
-0.8353481683494646,33.5061875,1.2789207381837122,-0.3116584370482487,7.318750000000001
0.37957730350130997,23.749687500000004,1.2290719394759455,-0.21869129362779163,9.625
-0.027288197648547664,14.18125,1.031067951396006,0.05252957396864338,3.5374999999999943
-0.15728598908882258,7.645,0.6609221497820715,-0.22397360963968588,0.2937500000000028
0.30475220744471343,7.085312499999999,0.5928789699655296,-0.44576403185850966,14.651562499999995
-0.29583791879558174,10.033348214285716,0.4627835225230433,-0.3056536253963115,22.05892857142858
-1.187389394385472,13.248098214285712,0.5054732253867329,-0.16991233931145108,25.69874999999999
-0.6620786144334798,19.730348214285712,0.47243868205250666,-0.17565045971699758,35.94874999999999
0.23499949082904834,28.0698125,0.4106473192827155,-0.472179028779625,41.99107142857143
0.25596774243315606,34.0395,0.36438263091557427,-0.8089953444456703,44.5
-0.8902574415169027,39.88496428571428,0.26460842387798317,0.4427031106147481,51.28625
-0.9520654251024053,46.81271428571428,0.08340482562507935,0.8364756505551789,60.3375
