date,y,x,year,week,cyclostationary_mean_HS,cyclostationary_mean_HS_1w,cyclostationary_mean_HS_4w,cyclostationary_mean_HS_8w,cyclostationary_mean_HS_12w,cyclostationary_mean_HS_16w,cyclostationary_mean_HS_24w,cyclostationary_mean_HS_46w
2000-01-11,44.5,7.0,2000,2,-0.040372267,-0.040372267,-0.040372267,-0.040372267,-0.040372267,-0.040372267,-0.040372267,-0.040372267
2000-01-11,44.5,7.25,2000,2,-0.04232125,-0.04232125,-0.04232125,-0.04232125,-0.04232125,-0.04232125,-0.04232125,-0.04232125
2000-01-11,44.25,7.25,2000,2,-0.05766788,-0.05766788,-0.05766788,-0.05766788,-0.05766788,-0.05766788,-0.05766788,-0.05766788
2000-01-19,44.5,7.0,2000,3,-0.08200237,-0.061187318500000004,-0.061187318500000004,-0.061187318500000004,-0.061187318500000004,-0.061187318500000004,-0.061187318500000004,-0.061187318500000004
2000-01-19,44.5,7.25,2000,3,-0.06603858,-0.054179914999999995,-0.054179914999999995,-0.054179914999999995,-0.054179914999999995,-0.054179914999999995,-0.054179914999999995,-0.054179914999999995
2000-01-19,44.25,7.25,2000,3,-0.085307986,-0.071487933,-0.071487933,-0.071487933,-0.071487933,-0.071487933,-0.071487933,-0.071487933
2000-01-27,44.5,7.0,2000,4,-0.03296885,-0.057485610000000006,-0.05178116233333333,-0.05178116233333333,-0.05178116233333333,-0.05178116233333333,-0.05178116233333333,-0.05178116233333333
2000-01-27,44.5,7.25,2000,4,-0.039064348,-0.052551464,-0.049141392666666665,-0.049141392666666665,-0.049141392666666665,-0.049141392666666665,-0.049141392666666665,-0.049141392666666665
2000-01-27,44.25,7.25,2000,4,-0.05956602,-0.072437003,-0.067513962,-0.067513962,-0.067513962,-0.067513962,-0.067513962,-0.067513962
2000-02-04,44.5,7.0,2000,5,-0.0687539,-0.050861375,-0.05602434675,-0.05602434675,-0.05602434675,-0.05602434675,-0.05602434675,-0.05602434675
2000-02-04,44.5,7.25,2000,5,-0.06408884,-0.051576593999999996,-0.0528782545,-0.0528782545,-0.0528782545,-0.0528782545,-0.0528782545,-0.0528782545
2000-02-04,44.25,7.25,2000,5,-0.083630025,-0.0715980225,-0.07154297775,-0.07154297775,-0.07154297775,-0.07154297775,-0.07154297775,-0.07154297775
2000-02-12,44.5,7.0,2000,6,-0.081279695,-0.07501679750000001,-0.061075416400000006,-0.061075416400000006,-0.061075416400000006,-0.061075416400000006,-0.061075416400000006,-0.061075416400000006
2000-02-12,44.5,7.25,2000,6,-0.073141605,-0.06861522249999999,-0.0569309246,-0.0569309246,-0.0569309246,-0.0569309246,-0.0569309246,-0.0569309246
2000-02-12,44.25,7.25,2000,6,-0.10208474,-0.0928573825,-0.07765133020000001,-0.07765133020000001,-0.07765133020000001,-0.07765133020000001,-0.07765133020000001,-0.07765133020000001
2000-02-20,44.5,7.0,2000,7,-0.10723317,-0.0942564325,-0.074447597,-0.06876837533333334,-0.06876837533333334,-0.06876837533333334,-0.06876837533333334,-0.06876837533333334
2000-02-20,44.5,7.25,2000,7,-0.100357905,-0.086749755,-0.0685382556,-0.06416875466666666,-0.06416875466666666,-0.06416875466666666,-0.06416875466666666,-0.06416875466666666
2000-02-20,44.25,7.25,2000,7,-0.13929221,-0.12068847499999999,-0.0939761962,-0.08792481016666666,-0.08792481016666666,-0.08792481016666666,-0.08792481016666666,-0.08792481016666666
2000-02-28,44.5,7.0,2000,9,-0.114337206,-0.110785188,-0.08091456420000001,-0.07527820828571428,-0.07527820828571428,-0.07527820828571428,-0.07527820828571428,-0.07527820828571428
2000-02-28,44.5,7.25,2000,9,-0.112334594,-0.10634624949999999,-0.0777974584,-0.07104958885714285,-0.07104958885714285,-0.07104958885714285,-0.07104958885714285,-0.07104958885714285
2000-02-28,44.25,7.25,2000,9,-0.14995931,-0.14462576,-0.10690646099999998,-0.09678688157142856,-0.09678688157142856,-0.09678688157142856,-0.09678688157142856,-0.09678688157142856
2000-03-07,44.5,7.0,2000,10,-0.09357312,-0.10395516299999999,-0.0930354182,-0.07756507225,-0.07756507225,-0.07756507225,-0.07756507225,-0.07756507225
2000-03-07,44.5,7.25,2000,10,-0.100091204,-0.106212899,-0.09000282959999999,-0.07467979075,-0.07467979075,-0.07467979075,-0.07467979075,-0.07467979075
