cyclostationary_mean_tg_1w_1,cyclostationary_mean_rr_4w_2,cyclostationary_mean_HS_8w_1,cyclostationary_mean_rr_24w_0,cyclostationary_mean_tg_1w_0
-0.6575484392274855,0.20246954635993605,1.5327649423179568,0.9931560855194838,-0.3794078881076487
0.015299418205476156,1.043227374971085,1.7065269710847715,2.1459369609614445,0.39462723892644597
-0.2538652080740264,0.4371993243722057,1.8515063459041858,1.1155390608522735,0.07177959429142097
-0.4022727261406037,0.47153721615428124,1.936432267433913,1.1407008186010241,-0.17767277017113758
-0.24151571208703693,0.35832534907513536,1.928278165093559,0.7420916964614059,0.10033341128323138
0.5285683375275964,0.21709188858833503,1.8819228117785316,0.5595032459647762,0.8008945472117808
2.0581239436643,-0.23979664582402577,1.8988298503733745,0.3493457947308188,2.1792319775548985
0.597703886706525,-0.23676894125053027,1.9062704763524336,0.1993878909368193,0.7168499609857982
-0.46706868174375304,0.2834339735139134,1.817635581396111,0.65989332463331,-0.2362848184995434
0.6318729192103623,0.8673228231037438,1.6820331311879866,1.0011314239883617,0.9146135712471516
1.4603181383673962,1.3805787453789737,1.6442439759261995,0.9878566317129325,1.554846518241717
0.9351743956059461,1.493313746535051,1.5702644803157755,1.007118601215644,0.9752327793534582
0.15014118428871875,2.0766505406442857,1.464132997724122,1.0103425709902947,0.21915325996005022
-0.4938377934965999,1.1151237150491298,1.422052006477152,0.689498416820361,-0.3355272098145998
-1.5135757358044324,0.4810665782532968,1.335305334889389,0.48366262753827033,-1.2460718232838084
-1.1395027872391386,1.557593794921417,1.2365539449434917,0.8544973017023316,-1.0812394004656776
0.2251344657751933,1.3024108590525658,1.1688161130581283,0.6066024829392477,0.14867430030146628
0.1783856645355636,0.7984589396942436,1.1652799565210206,0.5372503996075578,0.17758525202602488
0.0900730665387707,0.6041525164560831,1.1108299164190731,0.29841916114174294,0.12390212088511171
0.4722927429492568,0.43241528862683337,0.9542590556972015,0.15523521039030708,0.5409175627401661
-0.5183242171817057,-0.7925360516527595,0.8229104646382793,0.22058470622981974,-0.3497166296212236
-1.4040299695496747,-0.3369679639829489,0.7217265931954912,0.2762323142758629,-1.1779383642805095
-0.8266003891358716,-0.21817913902528951,0.5521678821779276,0.3016436249108373,-0.7053668637740212
-0.16655567771769222,0.2753460166750329,0.42876620416714106,0.29143132576345415,-0.12541603864829814
-0.41329177992374067,0.9543199259465062,0.2805337113229865,0.4066921796616449,-0.24406538897684532
-1.2879741857977445,0.8614577285542556,0.14932512868281245,0.43205323205668017,-1.0777753012913822
-0.6613474011531276,0.4342376217692859,-0.0016555551646650311,0.22333314584774272,-0.5957238770625041
0.4057473575484967,0.24448203560313125,-0.05867511876446534,0.20495490275936218,0.4919035010406191
-0.02652671443343338,0.23853367445758036,-0.05576768803858143,0.10732034616487751,0.071167283031239
-0.10500147385238699,-0.21573734201020595,-0.05502714707776109,0.09003266808564507,-0.02022686592663696
0.24690227371979823,-0.4848991475698767,-0.05477323913004258,0.1556430636499143,0.29404202486199715
-0.25237278298531,-0.3963152311134388,-0.05423831830035588,0.14383048252816683,-0.28917228888518615
-1.2978981130632303,-0.42009224137602413,-0.053708096667622454,0.10330827674325509,-1.3103072418175423
-1.7953478742223694,0.14184166941508877,-0.049430586090314296,0.11681980425320455,-1.739136106736538
-0.9783115942927784,-0.018840028874761994,-0.054503446459154274,-0.15543099722613196,-0.8878851857695943
0.5313053803955912,0.16957007289270118,-0.057736933771340926,-0.15135185333084583,0.5736335130068755
1.4120961436387995,0.15970005445251034,-0.06483993672825002,-0.24329180830437372,1.3538255040704124
1.3010589533049783,0.7246453573775263,-0.07886304024161576,-0.0833744549357143,1.2489478075414169
0.7148021925702649,-0.7688642092215932,-0.12523160639730438,-0.2836780332040306,0.8727731469479333
-0.020239069702415985,-0.6459797039813682,-0.19247227790646604,-0.2427844697709753,0.1723973566573237
-0.2979755390010714,-0.9422559045746361,-0.25647707145427584,-0.6278117710955975,-0.3040929704412999
-0.552921113088563,-0.8955062979467705,-0.291008136815449,-0.5485954638982394,-0.49214264203039204
-0.3522432979528285,-1.8399495112156534,-0.3896109414917829,-0.7635112465955197,-0.12692661909166425
-0.3941116773157468,-1.1524366117082638,-0.5174732741375822,-0.6994146027145508,-0.34149308777753723
