cyclostationary_mean_HS_1w_0,cyclostationary_mean_HS_24w_0,cyclostationary_mean_HS_16w_0,cyclostationary_mean_HS_12w_0,cyclostationary_mean_HS_4w_0
2.297348000043073,0.6880847836937777,0.9813062975490426,1.2628464061877394,2.170919341313946
2.0343314513157584,0.7858677689353848,1.1112077499182174,1.4241874025360062,2.1197839473796845
1.781177958167671,0.880693074074415,1.2375813520481642,1.5679739549983476,2.073460692267666
1.8563880860401463,0.9856425700059814,1.3780827239308129,1.7130352862510518,2.069491960480205
1.8853363816542503,1.0825445326320438,1.5073872398383845,1.8312580007159671,1.9631670353152249
1.8297905097710447,1.1822840947216815,1.6397118192836875,1.9711083016186002,1.8771931356613694
2.0188806412907288,1.2999762602185305,1.7855563698301247,2.104011493154455,1.957256682511012
2.0620773961753964,1.404414019248252,1.9003493322801912,2.179441534968093,1.9934848913057002
1.6737801704239406,1.481766695121979,1.9673348951644625,2.1499363204467072,1.8820010639339257
1.3945345286937572,1.556850045117509,2.0468034988868515,2.091236955894655,1.7908611904173366
1.5803363918380733,1.653334356030791,2.125167419184672,2.074561587009026,1.7788982567224363
1.6840367566008956,1.739212122131093,2.1612521002171046,2.0404398973615376,1.6524708635278114
1.5678323473983067,1.8229289671986753,2.1476881118211675,1.9737308657265096,1.5751261826361855
1.8614728637831721,1.9392891189005368,2.1560308788686577,1.9659864930350828,1.730502358193652
1.895948670998399,2.019502962468106,2.1319417422120033,1.9510007764248714,1.782868695189384
1.5967215320728683,2.0872917325945424,2.104497418172862,1.9356808908695073,1.738649312507988
1.3372931637616257,2.122039726366527,2.0201230253297893,1.8627869054681405,1.6415127331738961
1.163562178069747,2.173994220318121,1.9482272799154499,1.8116719479780479,1.5727451072017056
0.8432242023548585,2.1641040960566853,1.8554152480376196,1.6923928481114732,1.2216958311906085
0.18049878536544797,2.1037485998258423,1.726727478875515,1.4939850195177409,0.8652730378088465
-0.07458377268985562,2.0103020394933124,1.5882130613388388,1.3233239736204696,0.5322075974909258
-0.07465378551803607,1.8983375977732078,1.4554099816262118,1.1925248079702133,0.28267656672395075
-0.09193370226867688,1.7914252390352055,1.322165329918798,1.0672873464746464,0.014568876296760408
-0.0755782676865252,1.6851532681815238,1.1653076065077652,0.9070531120849021,-0.09573358422899107
-0.07251463457074865,1.5602424048543746,1.0264188702339287,0.7644538572432094,-0.08943504496963622
-0.06474489030584146,1.4398603435871922,0.9248157892863803,0.625246386481313,-0.09161152809539064
-0.06360313371890824,1.3424684465948893,0.8249246624429659,0.43169391210755176,-0.08492321364576716
-0.0722969099833565,1.247543285797575,0.6962673200259061,0.2847449906076779,-0.08356885893643191
-0.07637425069243342,1.1417944704884344,0.5814751196507971,0.14182389813302065,-0.08526101135075163
