cyclostationary_mean_HS_1w_1,cyclostationary_mean_HS_4w_2
1.7059199593397985,1.7959173430933597
1.9764481039027075,1.739617742221074
1.9925081180040345,1.8307776346406412
2.0506940872919195,2.002128096907741
2.0788828692011054,2.1732822751986123
2.1848577816530117,2.2068523203079238
2.454775692267267,2.377745651229032
2.511298417726395,2.428611672503645
2.485793150542929,2.5637307910035143
2.3222947157852456,2.532659210486043
1.902041511341039,2.442839646877731
1.1853067191683402,1.990018730782313
0.5231237186310304,1.592985026312809
0.5912646060618487,1.1801935991920245
0.769361005314346,0.9291762121903734
0.650658935467932,0.6452842349977742
0.2728289571179613,0.5391333036903799
0.011909784354505263,0.42676343582466336
-0.047521412175889274,0.2660812175740924
-0.04376968616402361,0.07918689962265076
-0.04332633445922884,-0.03056604814151654
-0.0431050828400802,-0.05586059080877541
-0.04353426296424143,-0.05426586678325705
-0.04370818763619845,-0.054230610055181504
-0.04363987859833975,-0.054210379929143626
-0.04351345590483334,-0.05431059599667152
-0.04351345590483334,-0.054384940915234346
-0.04363987859833975,-0.05435574189591427
-0.04363987859833975,-0.05435574189591427
-0.04363987859833975,-0.05435574189591427
-0.04436411297899749,-0.05471935926078849
-0.04436411297899749,-0.05471935926078849
-0.04403464365771236,-0.054888103441014725
-0.044327801570701715,-0.05501341516891396
-0.044862753074325024,-0.055410826883909296
-0.045293891821323394,-0.055410853505501644
-0.044558499167329534,-0.0554939181738262
-0.05239454815771971,-0.05898433397985103
-0.09357578877087337,-0.07654520179323442
-0.16196751043673338,-0.10904131296658713
-0.284807251509961,-0.17892631322727023
-0.24174205346893185,-0.19332835011623092
-0.3429128870475808,-0.3031097427703258
-0.7222166615254265,-0.46204384610836524
-0.9238192555461102,-0.6287668523096733
-0.8867716811096464,-0.7193563710810428
-0.9822834873751697,-0.9453147691558889
-1.0282509482919302,-1.0123073467988863
-0.7790664663600718,-0.9696154854555765
-0.5209179379516945,-0.8400852847511637
-0.23327289341280108,-0.6902743568764622
0.07427781977703629,-0.38845318763113873
0.5312939388439653,-0.023639564212668232
0.49517244487366113,0.15622622454946278
0.0642049310171107,0.22647395650440091
-0.32724373521778644,0.11605794650896582
-0.9071855001730252,-0.19305715298716886
-1.2730792639155386,-0.6552298604862791
-1.038250619119574,-0.8485260495627241
-0.6217074376388017,-0.9484263266067321
-0.42262767861322625,-0.8892983645203584
-0.257818287478545,-0.6708512591828936
-0.13774329426256204,-0.40399366763322464
-0.07490493484174263,-0.25906461822155935
-0.049406639763415625,-0.15936100147532176
-0.04372482649932329,-0.09710081304852973
-0.043998886766225744,-0.06796289358044035
-0.04406472852159315,-0.057057469785444244
-0.04370818763619845,-0.05462769734678507
-0.04373756051939195,-0.05463419521501821
-0.04373756051939195,-0.054633140563519825
-0.043652520867690385,-0.054486139483592634
-0.043652520867690385,-0.05445694046427257
-0.04363987859833975,-0.05445694046427257
-0.04363987859833975,-0.05441518586796388
-0.04436411297899749,-0.054724763258247544
-0.04436411297899749,-0.05471935926078849
-0.04363987859833975,-0.05471935926078849
-0.04403464365771236,-0.054888103441014725
-0.044327801570701715,-0.05501341516891396
-0.04364238323403518,-0.05457959666903215
-0.043543549230047864,-0.05466266133735669
-0.05239454815771971,-0.058321821323605756
-0.05528724223774816,-0.05947263749335395
-0.08810246110952595,-0.07703350530673735
-0.18090950523742855,-0.1181481140192915
-0.27467233481403924,-0.1758305911279632
-0.3450009953853713,-0.24322411528651136
-0.37917030518520817,-0.31427592880068456
-0.4057405865425952,-0.37900002506431024
-0.3860693779312464,-0.40197248073985065
-0.4241896432687107,-0.44291190137098013
-0.7721507230743432,-0.5845596396624024
-1.0549962797238195,-0.7317968909147899
-1.0011022406014045,-0.8390497771937148
-1.0519113455522504,-1.0164141697717342
-1.1405028457714639,-1.1452412226414486
-0.7471390995469885,-1.0057228337275623
-0.3873863223435226,-0.8598682082514375
-0.36276529934517665,-0.7328627076779106
-0.712212700762061,-0.7146624257787284
-0.8725422653689893,-0.6183216980332774
-0.6330136667185514,-0.6658789730683864
-0.5311692661928353,-0.679782393234944
-0.17412203667442827,-0.5852425237200855
-0.16974473114344668,-0.44790190974492694
-0.38874517829886895,-0.37844118475853833
-0.2614149131410701,-0.2890602758242839
-0.12268491429796867,-0.20383262845597713
-0.049406639763415625,-0.23575009318860082
-0.04376968616402361,-0.14998400333246553
