cyclostationary_mean_HS_1,cyclostationary_mean_HS_24w_1,cyclostationary_mean_tg_24w_1,cyclostationary_mean_HS_8w_0,cyclostationary_mean_tg_16w_1
2.5193338183561758,0.5206088825794808,-1.8522265786803807,1.7430047675230675,-0.746806881939619
2.0277952070842566,0.6071405610467726,-0.35119560673177513,1.9305767469825927,0.7306847534063713
2.028239234958598,0.687791032375575,-2.234919084553574,2.0619775699469436,-0.0733582938165156
2.092912315488632,0.7875647396687259,-1.5903468932459675,2.1633409025218766,0.12631447464606785
1.9397517132467812,0.8802944454910763,-1.6655472720709794,2.1638682382380385,0.005382377846823438
2.0066003215801786,0.9762870940007935,-0.6013921798644071,2.136553846844858,0.5435149938579403
2.322859006213307,1.0938505130778178,0.23929560734720182,2.154268363358427,1.0978217150175773
2.0964674245724417,1.1985644789735992,-0.2021321668033591,2.1458756792024145,0.8096147945008298
1.8703506354551105,1.2618903763028364,-0.015351716433319174,2.037693847780928,0.7540813238393408
1.5793550552035354,1.336657183081479,0.18821715333309322,1.9249847714135235,1.0582900839569591
2.0819229479809596,1.4257661536055246,0.535458692579715,1.9212753071128634,1.3144096443309143
1.803096224576064,1.5092044611574655,0.4937075043031921,1.895038680957859,1.3126394816072995
1.7133910496026972,1.6047785135555537,0.407402497461748,1.8396615670897785,1.3399518815530207
2.3155209712272944,1.7345173532184883,0.15095716583773333,1.8754507290886182,1.2221315484105333
1.6279824015744047,1.8325656671649075,-0.19363213698492415,1.8399842588252049,0.9903282936757312
1.4043251130034735,1.9220827850244204,-0.20520720850848614,1.756086643060091,0.8553418341875957
0.9186140068211578,1.9775095053254756,-0.08317465520552071,1.6550607707675276,0.9204262805825709
1.0590153627822452,2.029117462278019,-0.1265162394246506,1.632003665043684,0.9104998018288307
0.2519616339537294,2.019841914340705,0.012158668806919655,1.529312742466933,0.8473084157715467
-0.09119813035243991,1.973609709624402,0.06439954040630355,1.3015850463813763,1.0118810093923722
-0.08360897000142173,1.8976420979016893,-0.06742063334188782,1.1061996898001065,0.8364596138127735
-0.07971300566165829,1.7961049437507606,-0.22225729390636562,0.9127823565438339,0.743106551861282
-0.0798213664857029,1.7071344308899057,-0.1720020355726734,0.649317056172071,0.5190541313896924
-0.07821358797576054,1.6080968442096621,-0.14176105639378975,0.4541092669400847,0.2236120887971963
-0.07821358797576054,1.4936228937982323,-0.14181183620844645,0.2671114003030705,0.2140121837104744
-0.07349373347671237,1.3878195304200638,-0.19717398147169798,0.13063460056595771,-0.022527349949429794
-0.07821358797576054,1.3013152223665523,-0.1590476951141521,-0.02995530215622218,-0.19558121014529328
