cyclostationary_mean_HS_0,cyclostationary_mean_HS_1w_1,cyclostationary_mean_HS_1,cyclostationary_mean_HS_1w_0
1.7385291797478888,1.5547572230218007,1.8187558310318868,1.7183479002537885
2.1012094345056185,2.0310258445668365,2.158449336733638,1.9507915220884309
1.7807609098325932,2.0128133818385296,1.7830878245019035,1.972284013329678
2.008539869573724,1.8959345216083152,1.9295491593057466,1.9251474036648497
2.159546099599806,2.1424317201973335,2.2658376766254484,2.117721341272558
1.7845326770092438,2.0050755616368754,1.6605454318277928,2.003821798239495
1.7721867107749518,1.4403229859350855,1.1598039205948574,1.806778519137329
1.925165349155396,1.3629653977965088,1.509045275037793,1.8782758047787698
1.511362335301166,1.535791145348027,1.4982726924559981,1.7459663821185196
0.9537990774492362,1.3014429337527873,1.0500884790149616,1.252223883928619
1.772631267076629,1.4306850840706589,1.751385625630165,1.384995728647966
1.1798783912744075,1.656274123816105,1.4918909668370623,1.4999815822364089
0.07360364464631927,0.9317625113108061,0.33247346029610253,0.6360383167769592
-0.4092395092834006,0.04716462938257818,-0.24054047309037843,-0.17206637256131802
-0.691357646527837,-0.26415667583140195,-0.2772304832587901,-0.5610781681069464
-0.4567351097873397,-0.5119835304768833,-0.725894376165849,-0.5852591366982794
0.03767599382900111,-0.6319311472404315,-0.5121406347194498,-0.21466767740808046
0.4348437355899525,-0.21552186612674384,0.08961801111959102,0.23858276504048775
0.23637029313863678,0.10729174307323415,0.12007029099003215,0.339801072881965
0.08941285761832043,0.13354453923190887,0.14103252429043314,0.16453513501458694
0.05167050629733112,0.09361258284079933,0.04186596999508031,0.07078153222874245
0.09878672458690471,0.09455029596388523,0.14286897871707663,0.07554267803434507
0.09834092993407538,0.14787418023350948,0.14629757162449122,0.09927691417608478
0.10073027675129606,0.15002851123308625,0.14708810565816954,0.10026460506279039
0.10048006121633872,0.15043216630171818,0.14708810565816954,0.10135190463627111
0.10046724831769072,0.15043216630171818,0.14708810565816954,0.10121843151263384
0.10073027675129606,0.15043216630171818,0.14708810565816954,0.10134556103313902
0.10073027675129606,0.15043216630171818,0.14708810565816954,0.10147903415677628
0.10073027675129606,0.15043216630171818,0.14708810565816954,0.10147903415677628
0.100637837838027,0.15034632907810055,0.14691999864825098,0.10143204341039495
0.10065705813159545,0.15034632907810055,0.14708810565816954,0.10139482156250045
0.09996854681714655,0.15040654352355143,0.14703792499712434,0.10105389018239137
0.10031479444095076,0.15040654352355143,0.14708810565816954,0.10088027656653892
0.10739463518789856,0.15166569127473117,0.14950388969839942,0.10465024735448508
0.08242942792029823,0.14270915159649566,0.12954726450477444,0.09555723489898224
0.09265280013761973,0.13989205826204268,0.14398678281682042,0.0880696381062232
0.06976015823800115,0.13917837392138727,0.12814955689638613,0.08163244940581943
0.03197692083975216,0.11770708972914522,0.1019365715850517,0.05079667192784211
-0.37735871102954877,-0.07234215198472309,-0.244050386383818,-0.1764713512978574
-0.33638488140936795,-0.16509139471356107,-0.07970720963523552,-0.3636707162788448
-0.324428161581797,-0.045308115237720686,-0.009462079559906671,-0.3367104396494264
-0.11547453943111312,0.03156239438201733,0.07083903334037271,-0.2243991173841408
-0.6283867449274279,-0.2951581529540564,-0.649324507267185,-0.3789194389044508
-1.2413779098386146,-1.0724774110011528,-1.451493711303393,-0.9513068938787479
-1.5365908420760506,-1.6032690695588112,-1.6888478614629705,-1.4129530636510443
