SUBID,LONGITUDE,LATITUDE
8205501,28.8487,69.836
8205384,28.4651,69.474
8201352,27.8137,69.5785
8205614,28.051,69.5331
8205342,28.6571,69.6412
8205570,28.9535,69.6615
8205853,29.1207,69.7073
8208040,32.6431,65.8467
8209098,33.1752,65.8958
8209777,32.9202,65.7719
8209823,32.7975,65.8109
8209831,32.7926,65.894
8209961,32.8468,65.9383
8210048,32.2286,65.993
8210232,32.6244,65.9666
8210808,32.472,65.7473
8210852,32.9092,65.9748
8210881,32.2762,66.1747
8210904,33.104,65.8435
8207122,32.5613,65.9436
8210459,32.8137,65.6868
8209267,32.7549,65.9515
8209920,32.9622,66.0584
8000043,32.8264,66.1305
8203043,48.7728,67.0161
8202561,47.9199,67.0875
8301277,16.923,61.5086
8101274,-6.709,61.8201
8118619,8.6126,63.2779
8000046,19.6726,64.846
8303884,20.3315,64.3586
8303993,20.3962,64.5551
8300405,20.5173,64.4606
8301482,19.9362,64.6862
8303901,20.2642,64.5643
8300422,20.1882,64.4705
8000050,20.5172,64.2989
8000045,20.8572,64.1348
8122473,6.283,58.414
8100592,16.2394,67.5366
8128142,15.9607,67.5346
8000049,20.7632,64.2257
8000048,20.684,63.9675
8801598,-23.163,66.1335
8118593,6.827,62.1466
8122489,6.5478,59.7371
8219918,63.5992,69.5354
8000834,19.9416,65.6132
8301972,19.8453,65.6277
8000831,19.7143,65.6359
8312639,19.9719,65.517
8000832,20.2634,65.4806
8304493,20.8736,65.257
8303998,20.7903,65.1905
8124362,16.4735,68.7053
8000075,18.1085,68.7218
8000070,17.9764,68.8769
8000071,28.8721,59.6643
8210644,32.9694,65.5163
8210073,33.2108,65.4868
8208813,33.3748,65.4946
8209169,33.5526,65.5299
8000358,33.7207,65.6278
8210610,33.8485,65.5599
8208101,34.1232,65.4737
8000076,6.3309,59.3435
8000024,42.327,63.3211
8000102,44.9968,62.2687
8000105,45.3324,62.2856
8000107,45.504,62.216
8000565,41.5979,63.1713
8000566,41.8511,63.1959
8000567,41.6393,63.0358
8200012,43.0259,63.6809
8200030,44.6542,64.1234
8200041,43.9961,63.1091
8200058,44.9816,63.9319
8200059,42.6412,64.5805
8200073,43.733,63.5785
8200076,44.6175,63.579
8200083,42.748,64.3318
8200119,45.4133,61.5034
8200132,45.3761,64.1923
8200136,42.2006,63.8546
8200138,43.1769,63.3619
8200148,41.9152,64.6521
8200155,55.9949,61.7486
8200165,40.8148,64.3143
8200191,51.3768,60.0714
8200196,44.5515,64.3576
8200197,44.9002,64.1499
8200198,41.1381,63.8742
8200204,41.3945,63.911
8200208,40.0995,60.8672
8200209,44.9414,62.7509
8200223,42.8391,63.7036
8200224,40.7792,63.8787
8200225,42.0895,64.2151
8200226,41.7868,64.8225
8200235,41.1956,63.7224
8200237,44.1802,62.5875
8200240,43.9707,64.3915
8200251,47.7029,61.8822
8200257,46.277,62.617
8200258,43.4879,64.3819
8200271,41.9798,63.9338
8200273,43.314,63.8448
8200277,43.2744,63.4432
8200280,43.5945,64.042
8200282,42.4643,65.3309
8200285,45.423,64.3239
8200287,41.7791,63.8476
8200289,44.0235,64.0496
8200296,45.9454,62.2694
8200297,45.7702,62.4722
8200304,43.6727,61.6661
8200314,44.3165,64.1522
8200315,44.1535,63.751
8200325,43.3126,64.3831
8200330,43.0716,64.5374
8200336,52.3589,63.2021
8200341,44.9743,64.0659
8200347,43.1718,63.8684
8200348,44.3815,64.4975
8200362,45.2351,64.3527
8200387,40.2401,63.7152
8200388,43.3936,64.5746
8200397,42.5129,64.4267
8200406,43.4113,63.3285
8200407,42.8376,63.5079
8200408,43.4908,64.2016
8200422,43.9677,63.6855
8200449,43.1081,64.2627
8200486,44.8135,64.4976
8200501,40.699,64.1655
8200521,43.9862,63.4887
8200540,41.843,64.4184
8200547,42.8219,64.4403
8200565,42.4405,64.3288
8200572,43.8129,64.4387
8200576,40.4491,64.3157
8200599,42.7096,64.0903
8200603,44.0458,64.6371
8200615,40.5078,63.9747
8200616,41.9291,63.761
8200619,43.195,64.0475
8200621,42.1629,64.7173
8200633,43.6758,63.3712
8200640,55.0813,61.5967
8200653,42.5979,63.4437
8200659,43.8426,64.2273
8200727,45.5034,60.2907
8200730,46.0293,60.3885
8200844,54.7905,62.6291
8200891,57.9221,61.0913
8201042,58.5124,60.9484
8201305,41.2679,64.137
8203371,43.8279,62.0865
8203391,47.9387,62.1893
8203394,44.7229,62.8738
8203494,44.4515,62.8644
8203635,43.6717,61.8255
8203667,46.8296,61.4129
8203713,44.1804,61.9857
8203747,45.8837,61.845
8203754,45.8793,62.0871
8203924,45.4338,61.3162
8204163,43.805,64.6029
8204182,44.8687,62.0488
8204292,43.1728,64.6941
8204574,46.556,61.772
8204575,44.751,62.452
8204608,45.7376,61.738
8204625,46.5137,62.1373
8204634,45.0311,62.4769
8204646,46.6321,61.4104
8204673,44.4164,61.9234
8204689,43.976,61.8658
8204692,45.9994,61.3186
8204707,47.9066,61.9901
8204717,44.4371,62.6953
8204729,45.1398,61.662
8204759,44.5598,61.8685
8204766,46.8803,61.5754
8204792,47.0298,62.4876
8204825,44.9383,61.5602
8204826,47.673,61.5885
8204842,44.0409,62.1985
8204845,47.2734,61.2441
8204853,44.7773,61.783
8204878,47.0959,62.271
8204904,47.3682,61.4476
8204951,44.5064,61.7171
8205000,45.7127,62.6856
8205015,43.5758,62.088
8205039,45.718,61.3818
8205053,45.6385,61.8746
8205063,46.8023,62.1214
8205074,45.5948,61.4927
8205085,46.081,61.9945
8205132,45.5899,62.0612
8205140,47.0148,61.9947
8205148,44.9104,62.1606
8205188,45.0957,62.6258
8205215,44.9675,61.7725
8205345,46.446,62.3729
8205360,46.3979,62.067
8205368,47.1977,61.7798
8205371,47.2988,61.5041
8205376,47.3391,62.0838
8205378,45.426,62.5802
8205386,47.3425,61.7517
8205592,57.7528,60.9893
8205601,46.9717,61.2119
8205609,54.9102,62.3582
8205702,58.1249,60.9459
8205905,58.3502,61.3639
8205985,53.9247,62.4901
8205993,54.1116,61.2616
8206024,56.9006,61.4585
8206054,57.3757,61.4611
8206059,43.1713,59.6977
8206079,55.2509,62.437
8206100,54.1939,62.6103
8206181,58.2029,61.1721
8206227,45.1928,59.6886
8206248,57.6489,61.0885
8206258,56.3014,61.1348
8206265,58.5233,61.3056
8206277,45.4115,59.2975
8206286,55.5018,61.1964
8206299,56.3394,61.7065
8206310,54.5483,62.031
8206318,45.7748,59.246
8206334,54.9197,62.1499
8206340,58.3218,61.0348
8206379,53.2909,61.1106
