cyclostationary_mean_tg_3,cyclostationary_mean_rr_4w_2,cyclostationary_mean_rr_16w_0,cyclostationary_mean_rr_8w_2,cyclostationary_mean_HS_1w_0
-0.24641339461099881,1.833893654396688,3.1800778752405834,2.3130986274797434,1.9762319095780907
1.0114112942044218,0.9805211375628115,4.3529081729284,1.2368616274100086,2.2385040547582666
-0.8608230156221011,0.49511395037700484,2.8652690642906213,0.6246867979611276,2.3659197843910835
0.42651795474535015,0.17351949031114378,2.694869739012721,0.21910558915392508,2.524531540767831
-0.7248205290617582,0.029539124549610624,1.8739037865299897,0.0375236963000911,2.769900216489385
1.4649868756230167,-0.49844564386717205,1.6176064647784747,-0.13810703006555974,3.03614259296405
1.1977330810721245,-0.676648398482672,1.2452770932316033,-0.2559608713050138,3.4367663203362606
-0.5879500387242416,-0.7125330627682589,0.9579144467270353,-0.32720874950794865,3.619394134422037
-0.265953862417711,-0.2316980221269346,1.4963959732133005,-0.06480720740016696,3.5743308324323557
0.73480091731097,0.5362604241332611,1.6614525941783649,0.13971274750961965,3.4603926222303363
1.1783462790058687,0.42861155253585304,1.4341618276997898,-0.06647570845048509,3.5295609767710623
-0.2571533839304797,1.1285511391576297,1.8276214713580998,0.38355191641808656,3.521566141990934
-0.012197734258278149,1.3744398715536124,1.7626161313382487,0.5749092519309192,3.155951092265648
-1.3285981420845108,1.341817449475806,1.6040039574647844,0.8546313599150814,3.0255228047615605
-1.6894925163671666,0.2937261166134112,1.507400231266838,0.6947423130286796,2.7900215128247443
0.10215449541016414,0.32037373611286474,1.3191278999895084,0.6320808291389534,2.065397397948562
0.5114361347985467,-0.11541300017413023,1.2640739681429622,0.8019198833641344,0.8451936369376695
-0.4618153845780859,-0.3862764073476273,1.0678034153283862,0.4666049948647119,0.07105090865802287
0.1479925704755601,-0.668116380400784,0.6850024293069117,0.010793233021704,-0.043992183623014436
0.45838490681355476,-0.26171030902122605,0.6127703576725164,0.2110731619649116,-0.047803619506179174
-0.8683817088013188,-0.21355340023970246,0.47945785039773936,-0.308255265309742,-0.04291045547761923
-1.1816646223111473,-0.5684378954428987,0.5278930368272493,-0.5593437423658638,-0.0421224306771416
-0.1296814225295393,-0.3668139147202559,0.4898305086312923,-0.7305355383028079,-0.043660594506927226
0.3928942294821952,-0.5452607826982427,0.42651749067804373,-0.5770370298478398,-0.043143631963967304
0.1574824682307858,-0.7794730437696729,0.3796315280423626,-0.5595267392552535,-0.042970681481989945
-1.4825795202782779,0.042967066572845755,0.27081350811959604,-0.19728738685352887,-0.04312148507403258
0.19993159074989436,0.4201990305055324,0.08991293043841604,0.0057075939780100605,-0.04460929712816185
0.44407738043860806,0.2166972546868358,0.05750453908166891,-0.11059709572302014,-0.04486702931012057
-0.09012703031038234,0.2920531718914724,-0.33548741065583865,-0.18904654654048805,-0.04325640005478351
0.4713966572149216,0.3005715332817525,-0.47099853103928385,-0.19930872504352,-0.042770260531137215
-0.030910898943396655,0.5344543266681477,-0.12398593043056912,0.5754462820180823,-0.04376089563805019
-1.0094343991561279,0.5981286512888789,-0.08024681186843938,0.681787807741227,-0.043904158616811156
-1.4644386566481558,0.460315562103044,-0.05680289129027405,0.5939528890084571,-0.04300287746725669
-1.545424654996912,0.8534575717586588,0.1589251083738648,0.9550547901565242,-0.043005969231254465
-0.3165971067184668,0.8033033718295145,0.03858045646398683,0.33341555295770225,-0.0506291407330724
0.9020469714086388,-0.22679868401268527,0.10086869348940619,0.12213188948909891,-0.05653188896225541
0.9335027637929194,-0.6759502001242301,0.07924098035395821,0.056360654537847964,-0.053142297020573465
0.6608013110864341,-0.26717127857784057,0.2583928207902669,0.20213621583732894,-0.05959984070840794
-0.16568904333383197,-1.1949215520799548,0.00043295116224009684,-0.09275190886226954,-0.11580640343774441
-0.8539122104296742,-0.9246214834352742,-0.015136724119988048,-0.68887563860128,-0.1982363060748534
-0.6929660363779142,-0.5136574912316582,-0.05028263613608891,-0.656833242086568,-0.327112590943652
-1.4607186997906705,-0.5230447596254761,-0.04095859900862844,-0.6326238300725969,-0.30419431078584264
-0.4461837025207356,-1.1319041712284341,-0.5801531749783668,-1.188893508498948,-0.4085468944426746
-1.7727253570290844,-0.7729380323209971,-0.6986578062036902,-1.1971343488119888,-0.7826802923612107
-2.4687010299497647,-1.1964130714474115,-0.7545636806958484,-1.368229131147441,-1.0109253278232102
-1.1045950237799746,-1.5951713955266777,-0.8045568553531346,-1.3008790995034163,-0.9775974981239423
-2.0287490931422827,-1.6210696040741608,-0.8650958425807642,-1.5812231576998834,-1.0359782579107555
