Date,Year,Week,anomalia_adda,anomalia_dora,anomalia_emiliani1,anomalia_emiliani2,anomalia_garda,anomalia_lambro,anomalia_oglio,anomalia_piemonte_nord,anomalia_piemonte_sud,anomalia_ticino,PC1_SnowDepth_4w,PC2_SnowDepth_4w,PC3_SnowDepth_4w,PC4_SnowDepth_4w,PC1_SnowDepth_8w,PC2_SnowDepth_8w,PC3_SnowDepth_8w,PC4_SnowDepth_8w,PC1_SnowDepth_12w,PC2_SnowDepth_12w,PC3_SnowDepth_12w,PC4_SnowDepth_12w,PC1_SnowDepth_16w,PC2_SnowDepth_16w,PC3_SnowDepth_16w,PC4_SnowDepth_16w,PC1_SnowDepth_24w,PC2_SnowDepth_24w,PC3_SnowDepth_24w,PC4_SnowDepth_24w,PC_AltezzaLaghi_4w,PC_AltezzaLaghi_8w,PC_AltezzaLaghi_12w,PC_AltezzaLaghi_16w,PC_AltezzaLaghi_24w,PC1_Prec_4w,PC2_Prec_4w,PC3_Prec_4w,P4C_Prec_4w,P5C_Prec_4w,PC1_Prec_8w,PC2_Prec_8w,PC3_Prec_8w,P4C_Prec_8w,P5C_Prec_8w,PC1_Prec_12w,PC2_Prec_12w,PC3_Prec_12w,P4C_Prec_12w,P5C_Prec_12w,PC1_Prec_16w,PC2_Prec_16w,PC3_Prec_16w,P4C_Prec_16w,P5C_Prec_16w,PC1_Prec_24w,PC2_Prec_24w,PC3_Prec_24w,P4C_Prec_24w,P5C_Prec_42w,PC1_Temp_4w,PC2_Temp_4w,PC1_Temp_8w,PC2_Temp_8w,PC1_Temp_12w,PC2_Temp_12w,PC1_Temp_16w,PC2_Temp_16w,PC1_Temp_24w,PC2_Temp_24w
2000-02-20,2000,7,-0.0403727331043274,-0.0480059935501456,-0.017889939090909,-0.0324329431818181,-0.0766730172727271,-0.0685921572727273,-0.0521925436363636,-0.0256734522727272,-0.0121312322727272,-0.0383277245454545,-65.42425429996068,-13.632710832374176,3.784050032019853,-8.230310528628843,-37.03473552092519,-12.309154853557494,9.23708053058293,-14.197636017127289,-31.442500564419174,-9.122133091509367,10.371024619274749,10.135755784293742,-23.880035055431975,-7.261517239822967,7.380524225575015,7.5115068082957,-15.22336788271812,-4.638222946360883,4.346607193836934,-4.872154950735681,23.872435075274012,17.748478164495307,9.927982402899467,-2.382435589632487,-8.775698612222824,-4.476269004945484,1.609935466673402,-0.5100184242417659,-0.467442856586557,-0.1501062150078935,-3.6538949482454934,1.1052681003741787,-0.47861245661859186,-0.6426431498229138,0.05715924297024864,-3.8286252517882238,-0.8668018991138184,-0.20437294553379587,-0.6958302662334249,-0.12833935761499535,-3.374458115342164,0.23649749107667728,0.4291116608883411,-0.9132850974356883,0.38353888436496,-0.23143777933127654,0.4304674358712291,-0.14312359632497196,-0.7021784612319286,0.47347304061369966,-2.756894766441312,1.382970144382975,-1.176839339205935,0.5960321047977973,-2.7964678877227085,0.6820401791483849,-2.8591180926009243,-0.27990140787201445,-2.3592953067556266,0.1401893861704636
2000-02-27,2000,8,-0.0330851146178843,-0.0504582880800764,-0.0084458839999999,-0.0152384995,-0.0684622119999999,-0.0636350404999999,-0.0374935475,-0.0249703,-0.015978232,-0.0354016529999999,-78.00927099621873,-9.506963177549258,-1.2579224874610706,-8.229784888500232,-45.41047660212191,-9.86307553594913,6.408196471152407,-14.203843343854393,-38.4852452029945,-8.934301290662692,7.8906002721715485,10.550768684570674,-29.45600399906853,-6.939618316690777,6.873094786705543,8.119906624750861,-20.413185224338637,-6.059570123571714,5.77934730727322,-6.512865352115898,26.558116888025996,20.730957479592078,14.003439475742674,3.9253694084355693,-7.488264015650794,-3.7743662761903796,2.953403005705322,0.24227746643775758,-0.5134094963352006,0.12040872398340592,-3.8566333866931557,1.3270858075130838,-0.5350009814872535,-0.5316190933478301,-0.03414081933862792,-3.1886865260658586,-1.2271483700890848,0.02244004041982399,-0.7036433717350653,-0.1392618351695908,-3.20111114416698,-0.12254030643603521,0.6321077448002786,-0.889706430079961,0.47380154428805465,-0.4122430394070042,-0.09338407632490818,-0.2100537974713778,-0.69446712520138,0.4101013108953068,-2.2850773622313945,1.2206843515392085,0.14159506162133997,0.44168954128187965,-1.6793552783745405,0.4090807623758987,-3.11445565264261,-0.2511221314849618,-2.0185567175363084,0.24470944740803904
2000-03-05,2000,9,-0.0372558942811312,-0.0661480175485514,-0.0154645423809523,-0.0135168919047619,-0.0744017314285714,-0.0692145947619047,-0.0283422076190475,-0.0325251161904762,-0.0339161347619046,-0.0418917738095238,-88.94829617533338,-6.739064591481463,-6.611822476998824,-10.602556934331577,-60.68860696454072,-9.040278341252654,3.573040898581637,-12.102890380981467,-46.5990733942485,-12.0501868372563,9.253553758344337,15.062274201573578,-37.54915669077588,-9.053671990946432,8.908383832619759,11.167317142404826,-23.39438807781836,-5.068992858122928,4.680377591023875,-6.548719174978632,28.602019891517358,23.513545758656683,17.15758023368344,8.574045128417247,-6.3842034526963625,-4.271700854587024,2.9030650863717025,-0.13919080010564258,-0.19964462850888173,0.3629918145420038,-4.499119226865613,1.3204863585199367,-0.7956192666832406,-0.27773930525281704,0.0015899674769489214,-2.7423259935584947,-1.2192219879045223,-0.10478315268477027,-0.6328849640741597,-0.07661795252695414,-3.9954268869392346,-0.6139751613685969,0.22698643656694517,-0.6884926683636906,0.3328275483822588,-0.3490344164434807,-0.13578462419482432,-0.27726697765883995,-0.6684085190322827,0.42156929005322713,-4.165412664651715,0.6836653870289037,0.6512521679405814,0.7562292502301454,-1.3192620493798972,0.16205051490082237,-3.2940712617685923,-0.2588812322330841,-2.1501651261778165,0.294734710831138
2000-03-12,2000,10,-0.0400294632536679,-0.0566932856520533,-0.016501958095238,-0.0100252647619047,-0.0626937157142857,-0.0632940128571429,-0.0230695371428572,-0.0307023047619047,-0.0243240914285713,-0.0413334790476189,-97.07774470077554,-2.4620170589033674,-10.627163285114753,-13.214360353570473,-72.0901108469772,-6.604201188566563,-1.3970335604794586,-11.664197676313496,-50.881183619087295,-9.50442514697595,6.487175811800014,15.618003540628067,-42.7443068441929,-7.379540421779352,7.363689555463952,11.668461042757505,-28.13694401201835,-3.4854688328363173,3.3868004319664613,-7.100725602134042,28.989787731978495,25.20415523812982,19.391472524942536,11.666269503760848,-5.97748939022222,-3.281586030354238,3.376507398770043,0.8560829987488826,-0.34397227168856687,0.2912148566798598,-3.7554668919835263,1.9127513018468567,-0.22254146836340138,-0.32532969770827874,0.013756834979615093,-3.059088183685995,-1.419843194680954,0.10217704935253653,-0.5844067549941818,-0.1331316194636561,-3.5737258637936273,-0.8105262154985852,0.3926668746743906,-0.7277702245528829,0.3110622640714216,-0.53981310318135,-0.10589476451755642,-0.14012576151411668,-0.9483707507403245,0.4192372115000809,-2.9187920445776694,-0.1137271589227533,1.1725795375257257,0.4352875384410221,-0.47361832991804315,0.04547861144080415,-2.7108097091745256,-0.1888499763239353,-2.1023246880171533,0.34513158683848527
2000-03-19,2000,11,-0.0445337978413954,-0.0573308245082954,-0.0148917199999999,-0.0101368828571427,-0.0545397447619048,-0.0635004023809523,-0.0251999157142857,-0.0349729866666666,-0.0154868990476189,-0.0461344757142857,-101.68779129742383,0.6928780681002329,-12.431399908493706,-16.248750019409584,-83.25585254382146,-5.0907338199696905,-3.379941150818043,-11.89519157739727,-58.36018351260124,-6.976415250649984,3.965081036090145,14.202462259455404,-48.82303648404119,-6.011796655932088,5.678103506242108,11.069245807719202,-31.65129819447558,-2.4873975248568536,2.607824864572763,-7.012859574991619,28.612591202077887,26.23598415193265,21.35932331673754,14.58358910855139,-4.209585393394987,-3.51864970397654,2.885335193828486,0.07804744233230541,-0.3993270622134959,0.373266167280108,-4.023463071623543,2.202338423718321,-0.3119074736068873,-0.3571494613170886,-0.02664042351695482,-3.6463382855189637,-1.6419537439038852,-0.3607993998551775,-0.49231174968390196,0.017651188073059532,-3.7818988485323697,-1.3059935394669988,-0.1685411625377577,-0.6024114739304819,0.09523432331075347,-1.5424194762966745,-0.03179858360243254,-0.0232689296190344,-0.6879447561813125,0.3144367687983945,-3.6126211512199973,0.187449460942104,3.1752553802348684,0.722910956758571,0.4074730790384201,0.3786770279482539,-1.202541822954114,-0.46500276994023476,-1.864663993128885,0.18282773011839523
2000-03-26,2000,12,-0.0490381324291228,-0.0579683633645375,-0.013281519047619,-0.0102484576190476,-0.0463858138095237,-0.0637067638095237,-0.0273303128571428,-0.0392437047619047,-0.0066496685714286,-0.0509354747619046,-109.09100861222157,-1.6695634145443152,-14.410747655901075,-15.611017889833835,-94.23050352928479,-3.558272271633902,-6.063048376112678,-11.19317480775108,-67.00014085559864,-5.6312345230359515,1.9133550354862874,13.852585259693678,-56.41346409823331,-6.084898824893502,3.6999633025210885,11.118567006898415,-38.24172941479787,-4.24471186574237,4.1277629964155755,-8.696789206727578,28.334683849941683,27.439874397788397,23.25501446867027,17.570710385228455,-1.6749866133108546,-4.155961374419396,1.8327495802664486,-0.620385972841881,-0.22466106197080585,0.2696216123095454,-3.9933179776436667,2.347843773796621,-0.289524304875062,-0.2906460081654894,-0.11095128123565687,-3.984692484137115,-1.4243199913705744,-0.6120067181177403,-0.3529338039098703,0.06539912664965356,-3.4523900952758657,-1.308040063503794,-0.1616269997593393,-0.5584384854652652,0.10788864370268451,-2.038040399585295,0.07065519876143742,0.0597403358913687,-0.5470764273079811,0.24742827764665323,-3.690559966617041,0.6158675579179202,2.9768911641360445,0.8572798704436236,1.3115548492667692,0.4305398673513638,-0.3463865042885832,-0.3736376661543849,-1.865581248437986,0.030075717472708364
2000-04-02,2000,13,-0.048736322474858,-0.0421996589596309,-0.0195354599999999,-0.0260813123809523,-0.0595706052380952,-0.0557585114285714,-0.0387834414285713,-0.0343024052380951,-0.0104991547619047,-0.0455931685714284,-116.88207040138637,-4.141482263419373,-10.248573224007776,-12.364152065563372,-103.58511109460986,-3.428111184540638,-6.771062530878155,-10.765745142572387,-79.56521669444983,-5.640254150576998,0.8770752072839834,11.005942304348533,-64.28788942258761,-8.774988211965017,5.698903759984149,13.155999932208168,-43.498796233132104,-4.315666858521222,4.53519420390141,-8.767248728088166,28.493548767659124,28.541259954633375,25.163033887173572,19.97603736433522,2.0948216719988966,-2.9137859832651083,1.5750728352113712,-0.5271101234455001,-0.3714839408623715,-0.09314460969145695,-3.618284160429726,2.18957764229869,-0.42504582551188214,-0.20787683751225866,-0.04991814680037302,-3.9967725932031457,-1.3403148237464324,-0.732189932873215,-0.20895009840091813,-0.08379785354406266,-2.804240647737178,-1.25650800435795,-0.22773277437429745,-0.5271306223971786,0.15682839003297652,-1.9448443610002102,-0.03517400084913147,0.029132269263640296,-0.4681521977245598,0.297118661787105,-3.4167512047004416,0.6127454396754267,3.7821235987538206,0.6090223059722658,1.5585283286343223,0.6468652832320283,-0.14441174381435906,-0.20040279812179163,-1.5453686288940542,-0.009578361158841177
2000-04-09,2000,14,-0.0484345125205933,-0.0264309545547243,-0.0257895071428569,-0.0419141628571427,-0.0727553833333332,-0.0478102704761904,-0.0502365823809523,-0.029361100952381,-0.0143486019047619,-0.0402508533333333,-101.78854536388924,-12.651628443623421,-6.439413026278656,-11.196312973119687,-100.22163742684123,-5.622063590312705,-6.853711175825408,-11.658993856036494,-82.36249295554218,-6.963409357756919,-1.295123808779731,10.739682239620118,-63.72941665278923,-8.93950028271557,4.508411382946054,13.323982093400023,-44.26975360442265,-5.013039695957907,4.501664201265639,-9.241853162345697,26.366959444212664,27.671852698180174,25.581250177072164,21.119815559454214,4.956482048093469,0.33689463655972784,-0.46161872577056723,-1.2065131826857662,-0.7871306039411213,0.5159339343679287,-1.4875185737907393,1.459520516615994,-0.2379707264065035,-0.5251737971642223,-0.2730614079201084,-2.4027178818094708,-1.0993787659781078,-0.5835170606727044,-0.427209567184063,0.06121567015906416,-2.2086288621938803,-0.9394314397805017,-0.2630326536453232,-0.6082468644022917,0.08970396056589293,-1.0615700798965682,0.09124798778840533,0.003065312418372342,-0.6070128358166611,0.2699377445695967,-0.6132829113927948,0.2584933314218646,1.7626389202758388,0.026773007854620126,0.9747711285252334,0.317843323364529,-0.21015615586835318,-0.026672441353870157,-1.967886438768991,0.11117757644957187
2000-04-16,2000,15,-0.0366833007524884,-0.0210518823256568,-0.0205838628571428,-0.0337231761904762,-0.0653374628571428,-0.0196564857142856,-0.0503844461904763,-0.0154483847619046,0.0007796185714284,-0.0129884723809523,-85.58730600115602,-25.099607005029203,-1.868873831620856,-15.755679723337769,-94.76739937012862,-10.215731586745019,-4.990390504224661,-15.503236020857488,-84.64344554145731,-10.061519198474494,-0.6412690890128367,12.34146739588991,-65.39578936446783,-10.043906636692991,4.082904748778153,13.276612508986839,-45.782158363387815,-5.766554168889107,4.8414810862332365,-9.677991816785145,21.05701492517868,24.82828843434796,24.49916164283192,21.268224423539685,6.678006202877092,2.7595662843825455,-1.2812372099014062,-1.3351684830683128,-0.1970719966664651,0.43128216743989406,-0.38515576461613865,0.7936352041493675,-0.6629751777538935,-0.2798019246990108,-0.2833708577135598,-1.7707350309400645,-1.0302294619231254,-0.6541393231672321,-0.24840346619912645,0.06245092416496947,-2.039406854474905,-0.9185369389883736,-0.6137972208892487,-0.38535251288147426,-0.007508170588336947,-2.374692446304589,-0.08251731523864461,-0.08785116418233446,-0.6672036808111553,0.2982786356549858,3.054148217348623,-0.552391268722142,0.27702166745124024,-0.23047007964574956,1.090175951425823,0.24127932888776643,-0.4629481314014873,-0.07378492495162642,-1.8233846457118827,0.12317834899756523
2000-04-23,2000,16,-0.0284428711543007,-0.0178611787822512,-0.0186812133333332,-0.0284619590476189,-0.0590474942857143,0.005820077142857,-0.0515996604761906,-0.005640289047619,0.0107350042857143,0.011194158095238,-57.50153950878067,-21.58568729102277,-3.2852007458776127,-10.492237811933968,-83.00190714621527,-10.564771583559066,-7.660063113917983,-13.508441783247902,-82.55247008901206,-7.850746438970067,-3.3902097603376933,10.537817217568527,-64.71667581106209,-8.022383629605663,1.7835262431667287,11.976441271980855,-46.29531484077852,-4.913039148945393,3.88152602106865,-9.136469062931003,14.38488213020703,21.353274947061703,23.077715649600453,21.02196533666705,9.72488105315218,5.051345290255769,-0.4171753982922316,-1.5652913890152034,-0.23022052651937377,0.03877435829472961,0.44531268174152633,0.6883138622822531,-1.1156204909796907,-0.19805895908072335,-0.10366043948110205,-0.9963250699267421,-1.4350884541503033,-0.700422012409757,-0.17991314657821436,0.030536957952217645,-1.7267260410286025,-0.9952138626060315,-0.8421688856067004,-0.24869935301797844,0.010202256502473915,-1.98336561649565,-0.3061482745787844,-0.056343107622986915,-0.585836500172527,0.37265312730253325,4.275034977476309,-1.3556297876269907,-0.29428681669492,-0.41406312420648245,0.552477654704988,0.058563227489637125,-0.08875593579873997,0.08976020128776031,-2.184219415369127,0.19052633560296103
